area,index,spawn_name,x,y,table_count,table,all_slots,difficulty,frequency_seconds,method_hex,one_time,temporarily_disabled,max_spawn,enabled,schedule_hex,scheduled_hours,schedule_active,hours,day_chance,night_chance,ee_frequency,ee_countdown,weights,configured_and_scheduled
BD5000,0,Wolves01,655,3482,2,BDWOLFDI|BDWOLF,BDWOLFDI|BDWOLF||||||||,200,6,0x0033,1,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,10|90|0|0|0|0|0|0|0|0,0
BD5000,1,Spiders01,3380,3470,2,BDSPIDGI|BDSPIDHU,BDSPIDGI|BDSPIDHU||||||||,200,6,0x0059,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,0
BD5000,2,Bears01,1202,2432,3,BDBEARBR|BDBEARBL|ANKHEG,BDBEARBR|BDBEARBL|ANKHEG|||||||,200,6,0x0011,0,0,1,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,0
BD5000,3,Boars01,274,2528,1,BDBOAR02,BDBOAR02|||||||||,200,6,0x0011,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,0
BD5000,4,Hobgoblins01,4574,1273,4,HOBGOB|ORC01_|OGRE|GNOLL,HOBGOB|ORC01_|OGRE|GNOLL||||||,200,6,0x005B,1,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,0|0|0|0|0|0|0|0|0|0,0
BD5100,0,Ankhegs01,2682,1402,1,ANKHEG,ANKHEG|||||||||,200,6,0x0019,0,0,2,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,3|2|3|4|1|2|1|1|0|0,0
BD5100,1,Myconids01,2019,2400,1,BDMYCRD,BDMYCRD|||||||||,200,6,0x0019,0,0,2,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,0
BD7000,0,Orcs,813,1428,2,ORC01_|ORC02_,ORC01_|ORC02_||||||||,200,6,0x0059,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,0
BD7100,0,Spiders01,549,1883,2,BDSPIDGI|BDSPIDHU,BDSPIDGI|BDSPIDHU||||||||,200,6,0x0059,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,0
BD7100,1,Wolves01,2134,3030,2,BDWOLF|BDWOLFDI,BDWOLF|BDWOLFDI||||||||,200,6,0x0079,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,9|1|0|0|0|0|0|0|0|0,0
BD7100,2,Hobgoblins01,2633,2703,2,BDHOBG02|BDHOBG05,BDHOBG02|BDHOBG05||||||||,200,6,0x0079,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,50|5|10|5|5|5|0|0|0|0,0
BD7100,3,Trolls01,3370,2400,1,TROLL01,TROLL01|||||||||,200,6,0x0019,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,0
BD7100,4,Boars01,4601,1324,3,BDBOAR02|BDBOAR02|BDBOAR01,BDBOAR02|BDBOAR02|BDBOAR01|||||||,200,6,0x0079,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|8|1|1|1|1|1|1|1|1,0
BD7100,5,Spiders02,4510,1770,2,BDSPIDGI|BDSPIDHU,BDSPIDGI|BDSPIDHU||||||||,200,6,0x0059,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,0
BD7100,6,Hobgoblins02,2945,3425,2,BDHOBG02|BDHOBG05,BDHOBG02|BDHOBG05||||||||,200,6,0x0059,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,0|0|0|0|0|0|0|0|0|0,0
BD7100,7,Boars02,2520,2280,3,BDBOAR02|BDBOAR02|BDBOAR01,BDBOAR02|BDBOAR02|BDBOAR01|||||||,200,6,0x0079,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|8|1|1|1|1|1|1|1|1,0
BD7100,8,Trolls02,4907,978,1,TROLL01,TROLL01|||||||||,200,6,0x0019,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,0
BD7200,0,Wolves,1319,291,2,BDWOLF|BDWOLFDI,BDWOLF|BDWOLFDI||||||||,200,6,0x0011,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,0
BD7200,1,Boars,432,1615,2,BDBOAR02|BDBOAR01,BDBOAR02|BDBOAR01||||||||,200,6,0x0079,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,80|20|1|1|1|1|1|1|1|1,0
BD7200,2,Wyverns,658,1075,2,BDWYVR01|BDWYVR02,BDWYVR01|BDWYVR02||||||||,200,6,0x0079,0,0,4,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,80|20|1|1|1|1|1|1|1|1,0
BD7200,3,Spiders,1649,1855,2,BDSPIDGI|BDSPIDHU,BDSPIDGI|BDSPIDHU||||||||,200,6,0x0059,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,0
BD7300,0,Boars,591,2881,2,BDBOAR01|BDBOAR02,BDBOAR01|BDBOAR02||||||||,200,6,0x0079,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|4|1|1|1|1|1|1|1|1,0
BD7300,1,Wolves,1838,3337,2,BDWOLF|BDWOLFDI,BDWOLF|BDWOLFDI||||||||,200,6,0x0019,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,8|2|2|1|1|1|1|1|1|1,0
BD7300,2,Spiders,4557,2386,2,BDSPIDHU|BDSPIDGI,BDSPIDHU|BDSPIDGI||||||||,200,6,0x0059,0,0,6,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,8|2|2|1|1|1|1|1|1|1,0
BD7300,3,Bears,818,1905,1,BDBEARBR,BDBEARBR|||||||||,200,6,0x0019,0,0,2,0,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,0
BD7400,0,Spawn 1,615,1660,10,BDSKGR00|GHOUL|GHAST|BDWRAIT1|BDWOLF|BDSPIDGI|BDSPIDHU|BDWOLFDI|BDBOAR02|BDBEARBR,BDSKGR00|GHOUL|GHAST|BDWRAIT1|BDWOLF|BDSPIDGI|BDSPIDHU|BDWOLFDI|BDBOAR02|BDBEARBR,200,6,0x0019,0,0,6,1,0x00FFFFFF,24,1,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23,20,20,7200,0,1|1|1|1|1|1|1|1|1|1,1
