area,historical_name,status,in_historical_dataset,area_script,flags_hex,type_hex,actors_total,actors_scheduled,actors_schedule_zero,ea255_scheduled,ea_ge200_scheduled_not_dead,scheduled_dead_state,scheduled_kill_xp_sum,actors_cre_missing,spawn_points,spawn_points_configured_scheduled,regions,rest_configured,rest_has_bdnorest,are_sha256,area_script_literal_create_calls
BD0118,,ok,1,BD0118,0x00000010,0x0100,0,0,0,0,0,0,0,0,0,0,0,0,0,c455094bb1d1c25976e4e8c8fbc55bad40300f369683077e217e2832693dea7a,0
BD0120,,ok,1,BD0120,0x00000010,0x0124,25,25,0,12,12,0,7855,0,0,0,19,1,0,873e95240c86cdf567bbc6f12de0dd50e3a2a7378139b70b0d125b935d129bc6,206
BD0121,,ok,1,BD0121,0x00000010,0x0100,71,71,0,0,0,0,20929,0,0,0,3,0,0,0bb561883b1fcb1df0171402e313ab130cdeee7115f1664d0da8b2764545b964,0
BD0122,,ok,1,BD0122,0x00000010,0x0100,0,0,0,0,0,0,0,0,0,0,2,0,0,d94d227b48e628c23c68c03df8d74bc9503b02c18dc8e118e0faf8e0aad6af21,5
BD0130,,ok,1,BD0130,0x00000010,0x0120,118,118,0,81,81,4,60315,0,0,0,37,1,0,6dde32fbf9ca565660222cea85685c98f94fca066370659219f42d0f7dbdd56e,32
BD1000,Coast Way Crossing,ok,1,BD1000,0x00000010,0x0157,160,152,8,16,14,29,64147,0,7,0,33,1,0,70a44e4760c045391104f4615d9a20bf12c278e3be5fcb1da586812ec271f771,7
BD1010,,ok,1,BD1010,0x00000010,0x0120,15,15,0,10,9,4,19635,0,0,0,2,1,0,6c0796255622ae5040a1ab92b434c648290d95521a60f2406332a74fb5a79773,28
BD1100,,ok,1,BD1100,0x00000010,0x0120,100,31,69,18,18,1,33365,0,0,0,11,1,0,7ead1349442692e70a50feb7313fb89656a1c050e4024272d627dc88d210afde,0
BD1200,,ok,1,BD1200,0x00000010,0x0166,131,31,100,22,22,0,46635,0,0,0,36,1,0,90316427e61f49e6f767e9c53507b593964365b0888636ddc21d572e6c455579,2
BD2000,Boareskyr Bridge,ok,1,BD2000,0x00000010,0x0147,151,143,8,26,26,5,45180,0,4,0,38,1,0,7c3fb9b43af617ce68f92b75a801a0187761098c6501a4e0a645096b355db7be,70
BD2010,,ok,1,BD2010,0x00000010,0x0120,39,12,27,9,8,4,920,0,0,0,1,1,0,dab1b02088d94eccee9d0c9d4f86d13705d0d6193aac9a984e8f84e909dca860,0
BD2100,,ok,1,BD2100,0x00000010,0x0180,41,41,0,1,1,0,16101,0,0,0,6,0,0,b4794719c87dc938c803c0502b42b3b2439a82e78b83786ce2aca339d7e35b82,1
BD3000,Coalition Camp,ok,1,BD3000,0x00000010,0x0147,192,192,0,0,0,0,97337,0,0,0,25,0,0,8ffc86375d4f99d65cd1f086ed6dcb728a2f2a8f9a7f4014f07055e8c1649e78,198
BD4000,Dragonspear Castle,ok,1,BD4000,0x00000010,0x0147,111,110,1,0,0,0,76850,0,0,0,47,0,0,197a55c076def0e6056db4dcb29dae8566ba5081cc710b3d57cadb711039e2b1,86
BD4100,"Dragonspear Castle Keep, First Floor",ok,1,BD4100,0x00000010,0x0120,14,14,0,0,0,0,7590,0,0,0,9,0,0,7915769dd270691708aeab3bfd737e5efacd9a123c88e17c9550e7461853744e,6
BD4300,Dragonspear Castle Basement,ok,1,BD4300,0x00000010,0x0120,22,22,0,0,0,0,16270,0,0,0,16,0,0,2ea382db7d58315b356a687d0eef8319d0504cd8a7261a10489786304edf05a6,71
BD4400,Avernus,ok,1,BD4400,0x00000010,0x0124,32,32,0,24,15,13,82245,0,0,0,30,1,0,56d549dec600b57975bab9234556738fd88cec496a591ca454ed69d126d7b146,2
BD4500,Avernus Bridge,ok,1,BD4500,0x00000010,0x0124,16,16,0,15,9,7,41945,0,0,0,4,1,0,f56c3bd271bd8e8ea90494c30cfd2c4ecaf3b4ef2d2a09499f2060ae24e84ae6,0
BD4600,,ok,1,BD4600,0x00000010,0x0120,1,1,0,0,0,0,12000,0,0,0,6,0,0,7a46fe93f28963623e34fce950a7a10c97c57a6abbc7a350da5b6d005a7e9f77,0
BD4601,,ok,1,BD4601,0x00000010,0x0100,0,0,0,0,0,0,0,0,0,0,0,0,0,c3ce52b033c70cec50c3f63e5d7506d44d3cfe863655d1cf76126a9915736e68,9
BD4700,,ok,1,BD4700,0x00000030,0x0104,23,23,0,10,6,7,102765,0,0,0,8,0,0,07d73d2e3e3deb180ece388d1baddf692f7c67634bf1cef7df5136932a085959,13
BD5000,Underground River,ok,1,BD5000,0x00000010,0x0147,118,86,32,7,7,21,47117,0,5,0,25,1,0,5f3cdae5efa336641d91b2e8fcf9113fd9ae87cd27b04d634ef5cdcb35fce042,50
BD5100,Underground River,ok,1,BD5100,0x00000010,0x0124,111,101,10,25,25,0,129683,0,2,0,43,1,0,c6aad738a207cae2015b0b409ab2246fd4f7fdd76dd9948314091b7e078c0c55,37
BD5110,,ok,1,BD5110,0x00000010,0x0120,26,26,0,17,17,0,42200,0,0,0,4,1,0,8a89f448b507696f2034b9da966dec33b25150afa61d124701755be771f605f5,0
BD5200,The Warrens,ok,1,BD5200,0x00000010,0x0120,63,63,0,0,0,0,42420,0,0,0,13,0,0,ae46bc015206771af905fe642d498251e0dca3f842005c5aee3608ad2af90b40,0
BD5300,,ok,1,BD5300,0x00000010,0x0120,40,29,11,9,9,0,57261,0,0,0,19,0,0,d818d909d2ee96d6d12057aadea5356d4a197f5ca851909cb1f1887167e63e56,1
BD6000,Abandoned Sewers & Caverns,ok,1,BD6000,0x00000010,0x0120,24,24,0,12,12,1,6066,0,0,0,9,0,0,5edd55f235ec7e366e78a4103295e6791c8ce154dadbea0adbe2350daedeb759,4
BD6100,The Ambush,ok,1,BD6100,0x00000010,0x010D,0,0,0,0,0,0,0,0,0,0,0,0,0,39cd860d244363dce38477f98c48c0f5ff8e8d0393320a3a3f6442c9c260cec3,14
BD6200,Sewers Exit,ok,1,BD6200,0x00000030,0x0111,0,0,0,0,0,0,0,0,0,0,1,0,0,48f0e506eba0bcea63f352fe92406711ae577db76e601cee7c5bded994172dcd,0
BD7000,Coast Way Forest,ok,1,BD7000,0x00000010,0x0157,43,43,0,22,22,3,6655,0,1,0,12,1,0,b4acbc128e1424b4da2610754fb678ad86113963efe80038285197116fc05929,34
BD7100,Troll Claw Woods,ok,1,BD7100,0x00000010,0x0157,172,109,63,41,40,5,68446,0,9,0,13,1,0,bc5c93f28a48ecc2c9f7c77c08cd388fe62a063acaae690220eb947c62c89b37,9
BD7110,,ok,1,BD7110,0x00000010,0x0120,16,16,0,16,16,0,22800,0,0,0,7,1,0,ae222596b8f2b979058818d9e5f0343428afbe7a3ae795c42e95bf5c36b26ee7,0
BD7200,Forest of Wyrms,ok,1,BD7200,0x00000010,0x0157,59,31,28,19,19,1,30101,0,4,0,3,1,0,b2dba4d0e31f38b0faa6fe710f2bfecbbedf297fc0b49e66d83b1838c4745bb6,1
BD7210,,ok,1,BD7210,0x00000030,0x0162,1,1,0,0,0,0,13000,0,0,0,3,0,0,7cf6bb95b4bf1e86c41b8e06329a83782e28451e0c0510e2cb86b7081a16dbd0,13
BD7220,,ok,1,BD7220,0x00000010,0x0120,37,37,0,36,36,0,14810,0,0,0,9,1,0,071c8a02014cdb49701f94616dd4cfb31c8fd8c70347d490bf88f33317aeaa39,1
BD7230,,ok,1,BD7230,0x00000010,0x0120,55,49,6,18,18,9,85830,0,0,0,25,1,0,89a513ce5818b5f348b7284a79cfb37a241dff7b455ea9948fb4ada2471ea626,4
BD7300,Dead Man's Pass,ok,1,BD7300,0x00000010,0x0157,194,75,119,20,20,17,70431,0,4,0,11,1,0,dfd8dc90a9202223250537c60118a7fc5b0ecd36a530a5ddf978fb38599b9e85,2
BD7310,,ok,1,BD7310,0x00000010,0x0120,10,9,1,9,9,0,12100,0,0,0,2,0,0,155d89f0dde198681ad7ac20f6c58a932bd8290c0fa4c74acafae1ba3528720f,0
BD7400,Bloodbark Grove,ok,1,BD7400,0x00000010,0x0157,57,36,21,16,16,5,32784,0,1,1,11,1,0,7915ca81a815700f2f5b599c526ffb927c273e498ade1e4798bd45a9c6346447,8
BD7410,,ok,1,BD7410,0x00000010,0x0120,20,20,0,14,14,2,18005,0,0,0,6,0,0,38c8e075cb17146dd94fcc3c5bf3155f9d7a26fdadf8fda34f5ad80cb86919f5,0
