cre_key,cre_status,cre_sha256,kill_xp,ea,name_strref,current_hp,max_hp,state_hex,state_dead,deathvar,dialogue,cre_override,cre_class,cre_race,cre_general,cre_default
BDNOBF7,ok,34b4a15660aeba137f9447a3ba68bb79ce0c56c9c6a5fc22368566152b3e2244,15,128,209420,8,8,0x00000000,0,BDNOBF7,,BDCRWDE,NONE,NONE,NONE,NONE
BDNOBM3,ok,526551047a5e274848c20b48d69bcc34291b680d0992f718c16940c57a9ea307,15,128,209418,8,8,0x00000000,0,BDNOBM3,,BDCRWDE,NONE,NONE,NONE,NONE
BDNOBM5,ok,073ada3f2b60bdc6553db861a196a1455d9a27c830e9351eac7a7e6710d618d9,15,128,209418,8,8,0x00000000,0,BDNOBM5,,BDCRWDE,NONE,NONE,NONE,NONE
BDNOBM6,ok,69bbea78ac319ae5436624a7d1fd9c476c0c267501962540645430aa31a1bbfd,15,128,209418,8,8,0x00000000,0,BDNOBM6,,BDCRWDE,NONE,NONE,NONE,NONE
BDNOBM7,ok,2592349b15f7df3c6e76708e71d7418b84fdeca37a87ec7b4d58ae1f07a24690,15,128,209418,8,8,0x00000000,0,BDNOBM7,,BDCRWDE,NONE,NONE,NONE,NONE
BDREFGF1,ok,abd4e39a988a86921f5124ef8b86f4f48ec8cbd6f0bbae1ddb6977fe5771822c,15,128,252888,8,8,0x00000000,0,BDREFGF1,BDREFGF1,BDCRWDE,NONE,NONE,NONE,NONE
BDNOBF3,ok,3631c1d33548425bf38a7d97b258f75718ed79db37a0d7fc8762a9799d158021,15,128,209420,8,8,0x00000000,0,BDNOBF3,,BDCRWDE,NONE,NONE,NONE,NONE
BDNOBM2,ok,8d3aeea59090d8e5730ee79d1755e7a3097a5a6a4f9ffd822386a1208bc0018f,15,128,209418,8,8,0x00000000,0,BDNOBM2,,BDCRWDE,NONE,NONE,NONE,NONE
BDFISTCC,ok,96fc2ee5b811f2463968af629e6adafe3d0ec9d67409456535c516bfdc6a584b,420,128,213833,60,60,0x00000000,0,BDFISTCC,BDFISTCC,BDFISTCC,,BDSHOUT,BDFIGH01,
BDFISTCL,ok,d107b400eaa23cf8e2d5f33a7c518ea955d0ca200b20a658f7efac46ff75c609,420,128,213833,60,60,0x00000000,0,BDFISTCL,BDFISTCC,BDFISTCC,,BDSHOUT,BDFIGH01,
BDSCHAEL,ok,a604335332564e0e0ab8168acc6fdf1d03fadf29c9ef4ea8f88b9810c6bd1680,3000,128,235625,90,90,0x00000000,0,BDSCHAEL,BDSCHAEL,BDSCHAEL,,BDSHOUT,BDFIGH01,
HORSE,ok,5b6061bba5860000733669628aee8fa97c8b72085ad06e44d54883bb048eb674,1,128,6630,10,10,0x00000000,0,None,NONE,NONE,NONE,NONE,NONE,NONE
BDTEERA,ok,7d4f90c6173c53ad0237c1708033c50ca02efff5cf8beafe227ce943a5793abe,15,128,259707,8,8,0x00000000,0,BDTEERA,BDTEERA,BDTEERA,NONE,NONE,NONE,NONE
BDQUILA,ok,a7bf53d2e2db5e7787c8fadb6c6827ffa92346a970be2a0e76e8f8b052f7574d,15,128,259706,8,8,0x00000000,0,BDQUILA,BDQUILA,BDQUILA,NONE,NONE,NONE,NONE
BDDOG,ok,64bdd011b75021ce21fdc4ebd253938232f303cae31b0496e0e7e2cb27f5b829,0,128,255008,8,8,0x00000000,0,BDDOG,,,NONE,NONE,NONE,DW2MP2MO
BDBOY,ok,866c29b7d1d5ac62dc9fc33c65e45050c073a6090c591777c1fc1b3c41f96a4b,7,128,209404,8,8,0x00000000,0,BDBOY,,BDCRWDE,NONE,NONE,NONE,
BDGIRL,ok,f18cd208445242605ef8ebd22c47a58c8933f6b426541d1e9c90687e0e89cdb6,7,128,209406,8,8,0x00000000,0,BDGIRL,,BDCRWDE,NONE,NONE,NONE,
BDREFUGE,ok,71902a44364109fa3ff8a26ce3ea88b2100fc99936ec1b4ac8707a999cdb8362,7,128,252888,8,8,0x00000000,0,BDREFUGE,BDREFUGE,BDCRWDE,,NONE,NONE,
SEAGUL,ok,5aab71402d376c625072cc6c1fa78eee7e04652110fce2c2aa67c33044d23565,0,128,4294967295,8,8,0x00000000,0,None,NONE,NONE,NONE,RANDFLY,NONE,NONE
BDGARACH,ok,839a6267d85c9983cf471dbd315008f46a5bb1abab2a8e319e422a45b55dc522,15,128,258349,8,8,0x00000000,0,BDGARACH,BDGARACH,BDGARACH,NONE,NONE,NONE,NONE
BDPERREN,ok,ec5de9d905306aa5866d76d07e92ced23b1d8bfbd6b06a3cdbc1e9c0f19b50d9,7,128,258350,8,8,0x00000000,0,BDPERREN,BDPERREN,BDPERREN,,NONE,NONE,
BDREFGM1,ok,218ce685cfab326447dfc0132a9e0b9cd9e92a9ded6924a5a7fa5406f401f61b,15,128,252888,8,8,0x00000000,0,BDREFGM1,BDREFGM1,BDCRWDE,NONE,NONE,NONE,NONE
BDREFGF2,ok,1071b9d0246a5fe868ad5246b9d9c362d197dae9f164430b0a3b3dcbee3f5edd,15,128,252888,8,8,0x00000000,0,BDREFGF2,BDREFGF2,BDCRWDE,NONE,NONE,NONE,NONE
BDNOREST,ok,eb50cd5e0b52ee1d92081a70733daeecf64c2f6b3e1e8eaed50ef2b7e6643fb1,0,128,4294967295,8,8,0x00000000,0,BDNOREST,NONE,BDNOREST,NONE,NONE,NONE,NONE
BDSITM06,ok,f83c491f22cd289ba9ffaf158037c21229d74ab23121a8f61b35e5a7ff2e7985,15,128,209430,8,8,0x00000000,0,BDSITM06,,BDCRWDE,,NONE,NONE,NONE
BDSITM07,ok,efa182b5f80a6bad5ce5930dcc856c7842fb02a3b8cdd2e32eff367cebd4d396,15,128,209430,8,8,0x00000000,0,BDSITM07,,BDCRWDE,,NONE,NONE,NONE
BDREFGM7,ok,bb5b1270528faade10fbe030841869ea81f09be3c9905408fd56db79b6c02e27,15,128,252888,8,8,0x00000000,0,BDREFGM7,BDREFGM7,BDCRWDE,NONE,NONE,NONE,NONE
BDREFGF3,ok,61a3e96e083967c73e14ff31cdc3cc91d9dac8a0c888d42cdac893c30d386196,15,128,252888,8,8,0x00000000,0,BDREFGF3,BDREFGF3,BDCRWDE,NONE,NONE,NONE,NONE
BDNOBF2,ok,02fb22e6445380834e9eb9783ac86e9b324d69f934211d6c9bf34318d5dc519c,15,128,209420,8,8,0x00000000,0,BDNOBF2,,BDCRWDE,NONE,NONE,NONE,NONE
BDNOBF4,ok,30e30b5b586dab312cb095313120045fc046ac789367e7c5590363ad46eadc7b,15,128,209420,8,8,0x00000000,0,BDNOBF4,,BDCRWDE,NONE,NONE,NONE,NONE
BDNOBM1,ok,b19340338a7a66d88fdf69de7072e0957fd72cfe99e5ac2d7e270c5c6ab3e0e9,15,128,209418,8,8,0x00000000,0,BDNOBM1,,BDCRWDM,NONE,NONE,NONE,NONE
BDCOMF3,ok,4c7136cc2a53c979a1fdc6be322ff93b84ac05c6d18643eeaa622199e93c5f19,15,128,209428,8,8,0x00000000,0,BDCOMF3,,BDCRWDE,NONE,NONE,NONE,NONE
BDCOMF6,ok,65442f0df5bbaab33c19f9fa4ade89f3cd71fde1d78b9d52f1e8f10882caf5ec,15,128,209428,8,8,0x00000000,0,BDCOMF6,,BDCRWDE,NONE,NONE,NONE,NONE
BDCOMM1,ok,5e909cf46bb3b43b49d1917efd3b8f0562fdbd5bb20df240f79c440ee77b697e,15,128,209430,8,8,0x00000000,0,BDCOMM1,,BDCRWDE,NONE,NONE,NONE,NONE
BDFFVIDA,ok,b06ab8a5cb2dcf5f226eab1a36be48d6557200e44c9ae76eb8fa3a8a8c647b38,420,128,259874,60,60,0x00000000,0,BDFFVIDA,BDFFVIDA,BDFFVIDA,,BDSHOUT,BDFIGH01,
BDFATMAN,ok,08cca4480cfd84f040afeb9ec7b3cb134332db4be06ba87f5fc3346081ba71cc,15,128,209430,8,8,0x00000000,0,BDFATMAN,,BDCRWDE,NONE,NONE,NONE,NONE
BIRD,ok,a0215ba5df8bd9420e71c40b5d9dcc21ad652c210db1d6aaf032ed2915a0efe2,0,128,13718,8,8,0x00000000,0,None,NONE,NONE,NONE,RANDFLY,NONE,NONE
BDTANORM,ok,7ea4b8456bdeffc8764e78d21cefed63602cb2f4894d47a1690904623001c1f6,15,128,259875,8,8,0x00000000,0,BDTANORM,BDTANORM,BDTANORM,NONE,NONE,NONE,NONE
BDPROST1,ok,18bf95839553bf0771af134fb42f0a8713cc0e7d52043a2ff1e04b2572c7265e,15,128,209414,7,7,0x00000000,0,BDPROST1,BDPROST1,BDPROST1,,NONE,NONE,
BDSENNA,ok,b24d99a8fdb5036d95d865ab69cc57522ae600cc3ac5b72d1c87c0ee07d42d36,15,128,259868,8,8,0x00000000,0,BDSENNA,BDSENNA,BDSENNA,NONE,NONE,NONE,NONE
BDBGUARD,ok,d76c555c063c7822acef45d935c69bd91f6aae83e2f46ba7e764b7fa4e3df9b3,0,128,259867,96,96,0x00000000,0,BDBGUARD,BDBGUARD,BDBGUARD,,,,BDFIGH01
BDCOMF1,ok,5120379c41757300c06658d36bc502926955723b23af13ff9ca732d350cafbad,15,128,209428,8,8,0x00000000,0,BDCOMF1,,BDCRWDE,NONE,NONE,NONE,NONE
BDUNCONS,ok,5ff5e6ec4d0608ff485e0f5d50b57220c9378cf3b6536212b9df9ad326613c3b,7,128,263367,8,8,0x00000001,0,BDUNCONS,,,,NONE,NONE,
BDCOMM3,ok,59de07f09d4b4928f911bed8ebc7287eca5bc98abe02a6c54ef2302323574e7f,15,128,209430,8,8,0x00000000,0,BDCOMM3,,BDCRWDE,NONE,NONE,NONE,NONE
BDCOMF2,ok,8c2bb037b9fde0051f755a43287f2893e72a1d61ddd81bab00dc208cd66e8bad,15,128,209428,8,8,0x00000000,0,BDCOMF2,,BDCRWDE,NONE,NONE,NONE,NONE
BDFATWOM,ok,f8d40db5a9e8a747101df3fe4792250f698958cd64144a5d07f2e6e3e6cd6fec,15,128,209428,8,8,0x00000000,0,BDFATWOM,,BDCRWDE,NONE,NONE,NONE,NONE
BDNOBM4,ok,17eea9cfe733252c3baea5842777fc8392e5947b6df5cec53e94c5d7e7c402ec,15,128,209418,8,8,0x00000000,0,BDNOBM4,,BDCRWDE,NONE,NONE,NONE,NONE
BDNOBF5,ok,598207bda0625f31d074bcdd90c40947140ec5bfb8b64dcd440464d2eeb4ba4d,15,128,209420,8,8,0x00000000,0,BDNOBF5,,BDCRWDE,NONE,NONE,NONE,NONE
CAT,ok,f215448e459fcdf1e562ef8dc2f135b5b62ef9ca9e9981e0d1c4491aef792b4f,1,128,12793,8,8,0x00000000,0,cat,NONE,NONE,NONE,NONE,HUNTER,WDRUNSGT
BDCOMM2,ok,ede69d723d5463fb8223fa8bc5088118e8fdbbb7a99eba60f027fe0e832d550b,15,128,209430,8,8,0x00000000,0,BDCOMM2,,BDCRWDE,NONE,NONE,NONE,NONE
BDCOMF7,ok,359230eb182009f3753a1ca48cab9897b912ce47d15e5b38c5baa1301a4206ff,15,128,209428,8,8,0x00000000,0,BDCOMF7,,BDCRWDE,NONE,NONE,NONE,NONE
BDCOMM6,ok,8cd7855825fc7c5a743cc658c7a026e0898aa0ff3912a615ca6ff518aefce7a6,15,128,209430,8,8,0x00000000,0,BDCOMM6,,BDCRWDE,NONE,NONE,NONE,NONE
BDCOMM7,ok,712cc5910d68996469a1753ab40c5346d2ffed51ad0b6620a1aafc8c652d4a40,15,128,209430,8,8,0x00000000,0,BDCOMM7,,BDCRWDE,NONE,NONE,NONE,NONE
BDCOMM4,ok,657350d2f507d5d6ef4878ec185b68d0bca6715c50b6ebadeed45cad56740252,15,128,209430,8,8,0x00000000,0,BDCOMM4,,BDCRWDE,NONE,NONE,NONE,NONE
BDCOMF5,ok,75cbb23a9ad72871e1e10e8abd9eb5ac685b2ae3198cdc7ecc3e4e318a0e5cb8,15,128,209428,8,8,0x00000000,0,BDCOMF5,,BDCRWDE,NONE,NONE,NONE,NONE
BDCOMM5,ok,e757cc2496f0e6a48c7e2b47877e895c6c7c83ed4d0aa44aa8fe0e350cfec10d,15,128,209430,8,8,0x00000000,0,BDCOMM5,,BDCRWDE,NONE,NONE,NONE,NONE
BDCOMF4,ok,c7c88b160929cfcaba0346ffd0831567985e630f3a303d8216b9ade250142790,15,128,209428,8,8,0x00000000,0,BDCOMF4,,BDCRWDE,NONE,NONE,NONE,NONE
BDSITM01,ok,e2f6575bf92764c8d2ade17c76c18921764aae9ead1d78ae941625c9e6861e31,15,128,209430,8,8,0x00000000,0,BDSITM01,,BDCRWDE,,NONE,NONE,NONE
BDFISTXX,ok,21f5ebacf874e4708116af82e8bdf2568c7b7a3a0111fb4ef99a516d37755d35,420,128,213833,60,60,0x00000000,0,BDFISTXX,,BDFISTXX,,BDSHOUT,BDFIGH01,
BDROLFF,ok,9b3a4f0d747ad1db5e68bbfd129821bf9d7d7b9d2acbe004d7df2da07e8f7e3a,15,128,261082,8,8,0x00000000,0,BDROLFF,BDROLFF,BDROLFF,NONE,NONE,NONE,NONE
BDKIERAN,ok,35aef2d3698217bd3a31f6f35126c519ace806e2b250f7608353b2327876d68e,15,128,261083,8,8,0x00000000,0,BDKIERAN,BDKIERAN,BDKIERAN,NONE,NONE,NONE,NONE
BDBELT,ok,c88f6684e8c653f0a5c391afd8a076afd095f4ce2b4405a6f3b42864fd525df6,6000,128,212704,190,190,0x00000000,0,BDBELT,BDBELT,BDBELT,,BDSHOUT,BDFIGH01,
BDENTAR,ok,faea49e95b3af686ffcd2ce227fb6b6c8a6fb1afc00c9b8aeda7b6fa79341131,6500,128,212290,203,203,0x00000000,0,BDENTAR,BDENTAR,BDENTAR,NONE,BDSHOUT,BDFIGH01,
BDBENCE,ok,08b123131d583b920798a69560409603885b586d3c8ced8213c0a7d099875d09,1400,128,236696,90,90,0x00000000,0,BDBENCE,BDBENCE,BDBENCE,,BDSHOUT,BDFIGH01,
BDGU1697,ok,4e83b2cefba7a40511c3bd8155e540fd21115071b0b6183a9393ad25e54b6ab7,420,128,270404,60,60,0x00000000,0,BDGU1697,BDGU1697,,,BDSHOUT,BDFIGH01,
CUTSPY,ok,dbe6bb99edd21b732d696703b810c12816a9036bb45b53f72e037c96675d85e4,0,128,4294967295,8,8,0x00000000,0,cutspy,NONE,NONE,NONE,NONE,NONE,NONE
BDFF1697,ok,758aa0e76d0c57cbac4e790b40d7838e10a51fcae25baa8409e67b2ded9518ee,420,128,213833,60,60,0x00000000,0,BDFF1697,BDFF1697,,,BDSHOUT,BDFIGH01,
BDSITM02,ok,50ccbb4297511063104c1ef35de668e81f5b2080e5147187268e423622e16aae,15,128,209430,8,8,0x00000000,0,BDSITM02,,BDCRWDE,,NONE,NONE,NONE
BDSITM03,ok,86953dd65615098915f50c6e86d4c521ea39fe035796bb1bab9b28b90035b499,15,128,209430,8,8,0x00000000,0,BSSITM03,,BDCRWDE,NONE,NONE,NONE,NONE
BDSITM04,ok,d4308b708cb9246f770674c4b986f96084ce767bc92c9f4a4c914e820fdcc872,15,128,209430,8,8,0x00000000,0,BDSITM04,,BDCRWDE,,NONE,NONE,NONE
BDSITM05,ok,33a59a768ef4d1a55f005afbc012b7607835cef0d0c00856514e1550d8ec4df8,15,128,209430,8,8,0x00000000,0,BDSITM05,,BDCRWDE,,NONE,NONE,NONE
BDSITW01,ok,193f5bf03c61c13f8007acbf8426f777855e717941fdeb5eaa62e52938b7e730,15,128,209428,8,8,0x00000000,0,BDSITW01,,BDCRWDE,,NONE,NONE,NONE
BDRAT,ok,8c3b33521cc9a276a8c8417289aeb9b49850bf7a50f41e1047531b542ac57d88,1,128,213722,8,8,0x00000000,0,BDRAT,NONE,NONE,NONE,WDRUNSGT,NONE,NONE
COW,ok,fcd594393e2026e16e0c9e652de4aca1523c0b106cb59539b5f7104af4acb945,1,128,6411,8,8,0x00000000,0,None,NONE,NONE,NONE,NONE,NONE,NONE
CHICKE,ok,a5bffeed5cdf3105b099691e4b85ce18e6eb665216f680d826b8b454659436b0,1,128,6631,8,8,0x00000000,0,None,NONE,NONE,NONE,NONE,NONE,WDRUNSGT
BDDEAD,ok,b31258a2c8109e90c3cf772f13d35dad5574f7361f2eef54de402d6f766e1b54,0,128,217309,2,2,0x00000800,1,BDDEAD,,NONE,NONE,NONE,NONE,NONE
BDDIRLA,ok,cade37befb0e27a85a3c4965d0d401e28e8ace729375773428663aa03c8e058c,250,128,258352,50,50,0x00000000,0,BDDIRLA,BDDIRLA,LUISGANG,,,,DW2MM2AR
BDGOLT,ok,fb375e26a55c2b7c728c1c5f60fd5ede431def4464aa317ad1255dcc58e974e8,400,128,258354,48,48,0x00000000,0,BDGOLT,BDGOLT,LUISGANG,,,NONE,DW2RP2TH
BDLLUIS,ok,c9d1d0805bbeb55b373366351a5789ffc4ff7005e12f070bee2b766d3242cda7,450,128,258353,70,70,0x00000000,0,BDLLUIS,BDLLUIS,LUISGANG,,,BDLLUIS,DW2MS2GE
BDASERY,ok,f44503047412e10d5a80a924a1729df581620d30f40daa617f899c6a730ac26b,400,128,258355,70,70,0x00000000,0,BDASERY,BDASERY,LUISGANG,,,,DW2MC2GE
BDROBEL,ok,170e9c0cc418f55bccfaff9fb12366f4cf9b4a299e8bcd4331a0012afc265b89,15,128,263836,8,8,0x00000000,0,BDROBEL,BDROBEL,BDROBEL,NONE,NONE,NONE,NONE
BDAILEEN,ok,8e5831d8d669d5cf3d63c9d196367825ac16e3c1e50fbacf216e0a8e85920ff5,15,128,258365,8,8,0x00000000,0,BDAILEEN,BDAILEEN,BDAILEEN,NONE,NONE,NONE,NONE
BDSITRE1,ok,be42eb1cb8b1e0502bbc03cc116e53f7612c7438c44572cc8d2574646136bb37,15,128,252888,8,8,0x00000000,0,BDSITRE1,,BDCRWDE,,NONE,NONE,NONE
BDREFUG1,ok,68f10b810bb5bda1bea110eab00e5d755fc71e16a39310fa8cf74aef1873586d,7,128,212797,8,8,0x00000001,0,BDREFUGE,BDREFUGE,BDCRWDE,,NONE,NONE,
BDSITRE2,ok,deb75784558667c4c5a46c3c7eda38d30546dc0301769a5b3441ce26e2c873ad,15,128,252888,8,8,0x00000000,0,BDSITRE2,,BDCRWDE,,NONE,NONE,NONE
BDSITRE3,ok,806b87802f02566ebf0c7218acf50e9761e70063aeda57a4964ca6c7402aae23,15,128,252888,8,8,0x00000000,0,BDSITRE3,,BDCRWDE,,NONE,NONE,NONE
BDRIGGS,ok,64d367ae85b737ee2b1bfda6c9eabfea6d9ea1ba4572b5a4bf1097a4fb851553,420,128,261430,60,60,0x00000000,0,BDRIGGS,BDRIGGS,BDRIGGS,,BDSHOUT,BDFIGH01,
BDBYZON,ok,a0741c6349bfa6ad6ed7bb15b84565e8eff6ae441c671bea8f02b48417641d5f,15,128,261431,8,8,0x00000000,0,BDBYZON,BDBYZON,BDBYZON,NONE,NONE,NONE,NONE
SQUIRR,ok,d2a95310e561a3e0138e41028c461056bd70ac06f3870560dbbeac91d0a55574,1,128,12796,8,8,0x00000000,0,None,NONE,NONE,NONE,PREY,NONE,WDRUNSGT
BDURE1A,ok,aeb0d1852f6e14449630be9f1e07bc26ee85e7745f0a585813786bccbb0d6d45,120,255,256988,30,30,0x00000000,0,BDURE1A,,,BDENSHTV,,,BDFIG00
BDURE1B,ok,ca4055d4888cf5c7938d0050c37f56b454cf8e1e741e340b6638276eca420c06,120,255,256989,30,30,0x00000000,0,BDURE1B,,,BDENSHTV,,,BDARCH00
BDURE1C,ok,97bbf6e4d1563f42050afd495048532156bb47c7b350e44ea412a1f8bcaa6e81,175,255,256990,24,24,0x00000000,0,BDURE1C,,,BDENSHTV,,,BDPRI00
TROLL01,ok,1191a4f668b1444c1eadb6489e893a36eeb6fb49523da57b4d7c8cb0a44e492c,1400,255,225773,54,54,0x00000000,0,TROLL01,,GENSHT01,TROLL01,BDENSHTV,,BDFIG00
VULTUR,ok,80858d7366608566cd3929fb1022b011f0b2fa28c55fa9e8636695cc3ea35537,0,128,213719,8,8,0x00000000,0,None,NONE,NONE,NONE,RANDFLY,NONE,NONE
BAT_OUT,ok,fbbf9667915da5d10875dae2933d4df6f8515561498a572eb81777b5ef1b1605,0,128,209908,8,8,0x00000000,0,None,NONE,NONE,NONE,RANDFLY,NONE,NONE
BDORC1D,ok,7903c1d3ea25bd32e722d69af2e7d333611c1026efe326836dbbaf4e6e47fcad,0,127,256988,1,1,0x00000800,1,,,,,,,
BDORC2D,ok,913d1d5b2354c0b2e5e175fff89d23566189bd169407b930097c6efcf432ecba,0,127,256989,1,1,0x00000800,1,,,,,,,
BDTROL1D,ok,cd9f286f05c1a0aefaaec2375d84f46e28c8fc244879d71227e30778fd9e12e0,0,127,225773,1,1,0x00000A00,1,,,,,,,
BDTROL2D,ok,b668092f944e324162ed90bc1d787b94897375ea415dbf30834c7a7426ad2c16,0,127,269024,1,1,0x00000A00,1,,,,,,,
BDBEETBM,ok,2031791f25a819887ddb262acbafe4871f5b33a237aab80173aa8843d41e4e5a,120,128,256351,18,18,0x00000000,0,BDBEETBM,,,,BDBBCLD,,
BDWOLF02,ok,7d0e7208055d33f6af4159a3a3179bf76017a06838b092db6cc1ad6bc1700913,65,128,206629,24,24,0x00000000,0,BDWOLF02,,,BDGRSHTV,HUNTER,BDANIMN,BDNONIN
NEDEER1,ok,b3f722c07c2327f21b8e8d12b63eabfb2df17fe863a6fa11adf4e8fff2e0e169,65,128,227644,18,18,0x00000000,0,None,NONE,GENSHY,PREY,NONE,NONE,WDRUNSGT
ORC01_,ok,9d64a9c928a2695cb33f8ab8501c5e3b58f8318ed8acd4987b017360f43fdefa,120,255,256988,30,30,0x00000000,0,ORC01,,,BDENSHTV,,,BDFIG00
TROLLSM,ok,24aa957fe268348eed574e9104ab14862b1f335639d938513f52baa31136aec3,750,255,269024,32,32,0x00000000,0,TROLLSM,,TROLL01,BDENSHTV,,,BDFIG00
TROLFR01,ok,c47a25a8bd68aee700208b88ad520114e69c9f7d2db818494297e1a61288320b,650,255,256985,45,45,0x00000000,0,TROLFR01,,TROLL01,BDENSHTV,,,BDFIG00
CORPSE1,ok,d6e5a08090837a0488d98e2105acb25a0dfb30a3d9f95b64d36fe5e6fdd0a552,0,127,223068,10,10,0x00000800,1,None,NONE,NONE,NONE,NONE,NONE,NONE
CATDEAD,ok,924d76e810062e2f705f153c9e49e5f03e866ff336c8f96dd5f14927bae818ca,1,128,212793,0,1,0x00000800,1,None,NONE,NONE,NONE,NONE,NONE,WDRUNSGT
MRCOLWIF,ok,7bf1be6ea7b3f67fe20749b1f102950f85189b5430cb8976a936301777742453,15,128,209428,7,7,0x00000800,1,None,FTOBE2,DW#INNHL,RUNENEMY,NONE,NONE,WDRUNSGT
SKELDED,ok,67d88bd49c2e7050496ee3b2e562843afe4d44693176bfa275a3552d83d7fb80,0,128,4294967295,0,1,0x00000800,1,skelded,NONE,NONE,NONE,NONE,NONE,NONE
BDBATNC,ok,e174eda1e8e9b73e798aa6ba00de05681cca9e3f92c0d302ceda74e2592a80fe,0,128,209908,8,8,0x00000000,0,BDBATNC,,,,,,RANDWALK
BDDEADOG,ok,b6a801aac4dc4e6ef810ba820274e8a0717a3692ca7779392b86594cb624223f,35,255,208761,9,9,0x00000800,1,BDDEADOG,,,NONE,NONE,NONE,
BDRATNC,ok,1126bcc1ce3db61f562e358c56415df3c92ff3c91139d527a36c61cad9caf6c4,0,128,213722,8,8,0x00000000,0,BDRATNC,,,,PREY,,RANDWALK
TROLLGI,ok,7422bc3a651ce45fa3c7683778ddbebadf9043d72a0362f73b65507367f63398,1600,255,269025,64,64,0x00000000,0,TROLLGI,,TROLL01,BDENSHTV,,,BDFIG00
DEAD1,ok,751eb38c8add6ea1909a12c1ad24616e0b8705ed204a058e0414b94df66a464c,2,128,213826,2,2,0x00000800,1,None,MINERN,NONE,NONE,NONE,NONE,NONE
CORPSE2,ok,f463b8bf4e077dc0cc233cac1a752dacccf9c3c9eabe7e6413f8a340f0b82613,0,127,223068,10,10,0x00000800,1,None,NONE,NONE,NONE,NONE,NONE,NONE
DEAD2,ok,ba2293a122dce1b1667aaabb1826cc613dbd489783fd16b67b30c3e65a323617,65,128,209453,16,16,0x00000800,1,None,AMNIS,NONE,NONE,NONE,NONE,NONE
BDURE2A,ok,a6f12d595e56dcc54e07ef02479c9bccc04bd3016e072bf0221a9bb358663548,3500,255,269035,78,78,0x00000000,0,BDURE2A,,BDURE2A,BDENSHTV,,,BDTHF00
BDURE2B,ok,820ef1209e948c80c7578a498e6c42e53df16f5b412d1a89ff68d74497b5b82d,2000,255,211748,96,96,0x00000000,0,BDURE2B,,,BDENSHTV,,,BDFIG00
BDURE2C,ok,c03c7e35d5198970447559ae5c4665e4b75e1bf10548bb7c2298a8f38da936dc,1500,255,211748,70,70,0x00000000,0,BDURE2C,,,BDENSHTV,,,BDFIG00
BDURE2D,ok,94aeced16d8300d14b96edffaa88b7275a860a6fa870e87b2c3614f9ff1f3005,750,255,211748,60,60,0x00000000,0,BDURE2D,,,BDENSHTV,,,BDARCH00
BDURE2E,ok,b33a3ca76c0b4657f76cd1951f4a6806c4b1d02ba003cd68a24de24750aad730,750,255,211748,60,60,0x00000000,0,BDURE2E,,,BDENSHTV,,,BDARCH00
