area,historical_placed_enemy_count,historical_scripted_oneoff_enemies,historical_total_enemy,current_scheduled_ea255,current_scheduled_ea_ge200_not_dead,current_zero_schedule,audit_status,comparison_note
BD0110,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0111,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0112,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0113,4,0,4,4,4,0,quest-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0114,40,0,40,40,40,0,open-density,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0115,0,0,0,0,0,0,removed-parent,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0116,0,0,0,0,0,0,designed-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0117,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0118,0,0,0,0,0,0,retired-stage,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0120,12,6,18,12,12,0,skipped-route,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0121,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0122,0,0,0,0,0,0,social-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD0130,81,0,81,81,81,0,skipped-route,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD1000,24,0,24,16,14,8,cut-plus-open-ambient,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD1010,10,6,16,10,9,0,open-density,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD1100,85,0,85,18,18,69,designed-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD1200,118,0,118,22,22,100,designed-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD2000,34,0,34,26,26,8,cut-plus-quest-risk,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD2010,36,0,36,9,8,27,designed-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD2100,1,0,1,1,1,0,story-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD3000,0,67,67,0,0,0,story-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD4000,0,2,2,0,0,1,story-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD4100,0,0,0,0,0,0,story-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD4300,0,18,18,0,0,0,story-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD4400,24,2,26,24,15,0,story-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD4500,15,0,15,15,9,0,story-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD4600,0,0,0,0,0,0,story-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD4601,0,9,9,0,0,0,story-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD4700,10,6,16,10,6,0,story-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD5000,39,21,60,7,7,32,cut-plus-quest-risk,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD5100,35,0,35,25,25,10,cut-plus-open-density,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD5110,17,0,17,17,17,0,policy-gap-plus-quest,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD5200,0,0,0,0,0,0,story-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD5300,20,1,21,9,9,11,cut-plus-open-density,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD6000,12,0,12,12,12,0,retired-ending-route,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD6100,0,0,0,0,0,0,retired-ending-route,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD6200,0,0,0,0,0,0,retired-ending-route,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD7000,22,16,38,22,22,0,removed-parent,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD7100,104,0,104,41,40,63,cut-plus-open-ambient,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD7110,16,0,16,16,16,0,designed-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD7200,47,0,47,19,19,28,cut-plus-open-ambient,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD7210,0,7,7,0,0,0,designed-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD7220,36,0,36,36,36,0,unreachable-cut,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD7230,18,2,20,18,18,6,open-density-and-policy-gap,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD7300,139,0,139,20,20,119,cut-plus-open-ambient,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD7310,10,0,10,9,9,1,designed-keep,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD7400,37,8,45,16,16,21,open-purpose,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
BD7410,14,0,14,14,14,0,open-purpose,Different scope: current counts include neutral-to-hostile omissions and scripted/difficulty/save-state limitations; do not infer XP or removals by subtracting.
