script,line,action,cre_or_group,reference_kind,cre_available
BD0030.BCS,210,CreateCreature,BDCOMF7,cre,1
BD0030.BCS,216,CreateCreature,BDNOBM3,cre,1
BD0040.BCS,65,CreateCreatureImpassable,BDFISTCC,cre,1
BD0040.BCS,66,CreateCreatureImpassable,BDFIST1A,cre,1
BD0040.BCS,148,CreateCreature,BDCOMM1,cre,1
BD0040.BCS,154,CreateCreature,BDCOMF1,cre,1
BD0040.BCS,160,CreateCreature,BDNOBM1,cre,1
BD0040.BCS,166,CreateCreature,BDFATMAN,cre,1
BD0040.BCS,172,CreateCreature,BDDWARF,cre,1
BD0040.BCS,184,CreateCreature,BDCOMM2,cre,1
BD0040.BCS,190,CreateCreature,BDCOMF2,cre,1
BD0040.BCS,196,CreateCreature,BDCOMM3,cre,1
BD0040.BCS,202,CreateCreature,BDNOBM4,cre,1
BD0040.BCS,208,CreateCreature,BDREFGM1,cre,1
BD0040.BCS,214,CreateCreature,BDREFGF1,cre,1
BD0040.BCS,220,CreateCreature,BDNOBM5,cre,1
BD0040.BCS,226,CreateCreature,BDREFGF4,cre,1
BD0040.BCS,232,CreateCreature,BDREFGF3,cre,1
BD0040.BCS,244,CreateCreature,BDCOMF3,cre,1
BD0040.BCS,250,CreateCreature,BDCOMM4,cre,1
BD0040.BCS,256,CreateCreature,BDCOMF4,cre,1
BD0040.BCS,262,CreateCreature,BDREFGM2,cre,1
BD0040.BCS,268,CreateCreature,BDREFGF2,cre,1
BD0040.BCS,274,CreateCreature,BDREFGM3,cre,1
BD0040.BCS,280,CreateCreature,BDCOMF6,cre,1
BD0040.BCS,286,CreateCreature,BDCOMM6,cre,1
BD0040.BCS,292,CreateCreature,BDNOBM2,cre,1
BD0050.BCS,122,CreateCreature,BDCOMM1,cre,1
BD0050.BCS,128,CreateCreature,BDCOMF1,cre,1
BD0050.BCS,134,CreateCreature,BDNOBM1,cre,1
BD0050.BCS,140,CreateCreature,BDFATMAN,cre,1
BD0050.BCS,146,CreateCreature,BDCOMM2,cre,1
BD0050.BCS,152,CreateCreature,BDCOMF4,cre,1
BD0050.BCS,158,CreateCreature,BDNOBM2,cre,1
BD0050.BCS,164,CreateCreature,BDBOY,cre,1
BD0050.BCS,170,CreateCreature,BDCOMF5,cre,1
BD0050.BCS,182,CreateCreature,BDDWARF,cre,1
BD0050.BCS,188,CreateCreature,BDCOMF2,cre,1
BD0050.BCS,194,CreateCreature,BDNOBF1,cre,1
BD0050.BCS,200,CreateCreature,BDFATWOM,cre,1
BD0050.BCS,206,CreateCreature,BDNOBF3,cre,1
BD0050.BCS,212,CreateCreature,BDCOMM5,cre,1
BD0050.BCS,218,CreateCreature,BDCOMM4,cre,1
BD0050.BCS,224,CreateCreature,BDGIRL,cre,1
BD0050.BCS,230,CreateCreature,BDNOBM4,cre,1
BD0050.BCS,242,CreateCreature,BDCOMF1,cre,1
BD0050.BCS,248,CreateCreature,BDCOMF2,cre,1
BD0050.BCS,254,CreateCreature,BDNOBF1,cre,1
BD0050.BCS,260,CreateCreature,BDFISTCC,cre,1
BD0050.BCS,266,CreateCreature,BDNOBM3,cre,1
BD0050.BCS,272,CreateCreature,BDCOMM4,cre,1
BD0050.BCS,284,CreateCreature,BDCOMF1,cre,1
BD0050.BCS,290,CreateCreature,BDCOMF2,cre,1
BD0050.BCS,296,CreateCreature,BDNOBF1,cre,1
BD0050.BCS,302,CreateCreature,BDFISTCC,cre,1
BD0050.BCS,308,CreateCreature,BDNOBM3,cre,1
BD0050.BCS,314,CreateCreature,BDCOMM4,cre,1
BD0062.BCS,26,CreateCreatureEffect,JELLOC,cre,1
BD0062.BCS,27,CreateCreatureEffect,BDMCARRI,cre,1
BD0062.BCS,29,CreateCreatureEffect,BDMCARRI,cre,1
BD0062.BCS,30,CreateCreatureEffect,JELLOC,cre,1
BD0062.BCS,32,CreateCreatureEffect,BDOTYG01,cre,1
BD0062.BCS,43,CreateCreatureEffect,JELLOC,cre,1
BD0062.BCS,44,CreateCreatureEffect,BDMCARRI,cre,1
BD0062.BCS,46,CreateCreatureEffect,BDCCRAW1,cre,1
BD0062.BCS,47,CreateCreatureEffect,JELLOC,cre,1
BD0062.BCS,49,CreateCreatureEffect,BDOTYG02,cre,1
BD0062.BCS,60,CreateCreatureEffect,JELLOC,cre,1
BD0062.BCS,61,CreateCreatureEffect,BDCCRAW1,cre,1
BD0062.BCS,63,CreateCreatureEffect,BDCCRAW1,cre,1
BD0062.BCS,64,CreateCreatureEffect,JELLOC,cre,1
BD0062.BCS,66,CreateCreatureEffect,BDCCRAW1,cre,1
BD0064.BCS,46,CreateCreature,BDURE4D,cre,1
BD0064.BCS,47,CreateCreature,BDURE4E,cre,1
BD0064.BCS,48,CreateCreature,BDURE4E,cre,1
BD0100.BCS,69,CreateCreature,BDFISTCC,cre,1
BD0100.BCS,71,CreateCreature,BDFISTCC,cre,1
BD0100.BCS,73,CreateCreature,BDFISTCC,cre,1
BD0100.BCS,75,CreateCreature,BDFISTCL,cre,1
BD0100.BCS,77,CreateCreature,BDSERV1,cre,1
BD0100.BCS,79,CreateCreature,BDSERV1,cre,1
BD0100.BCS,81,CreateCreature,BDSERV1,cre,1
BD0100.BCS,107,CreateCreature,BDGASS1,cre,1
BD0100.BCS,108,CreateCreature,BDGASS2,cre,1
BD0100.BCS,109,CreateCreature,BDGASS3,cre,1
BD0100.BCS,126,CreateCreature,BDNOBM2,cre,1
BD0100.BCS,132,CreateCreature,BDNOBF1,cre,1
BD0100.BCS,138,CreateCreature,BDNOBF4,cre,1
BD0100.BCS,144,CreateCreature,BDNOBM1,cre,1
BD0101.BCS,21,CreateCreature,BDFISTEX,cre,1
BD0101.BCS,24,CreateCreature,BDFISTEX,cre,1
BD0101.BCS,27,CreateCreature,BDFISTEX,cre,1
BD0101.BCS,30,CreateCreature,BDFISTEX,cre,1
BD0101.BCS,33,CreateCreature,BDFISTEX,cre,1
BD0101.BCS,36,CreateCreature,BDFISTEX,cre,1
BD0101.BCS,39,CreateCreature,BDFISTEX,cre,1
BD0101.BCS,42,CreateCreature,BDFISTEX,cre,1
BD0101.BCS,45,CreateCreature,BDFISTEX,cre,1
BD0101.BCS,48,CreateCreature,BDFISTEX,cre,1
BD0101.BCS,51,CreateCreature,BDFISTEX,cre,1
BD0101.BCS,54,CreateCreature,BDFISTEX,cre,1
BD0101.BCS,57,CreateCreature,BDFISTEX,cre,1
BD0101.BCS,60,CreateCreature,BDFISTEX,cre,1
BD0101.BCS,63,CreateCreature,BDFISTEX,cre,1
BD0101.BCS,115,CreateCreature,SAFANA7,cre,1
BD0101.BCS,181,CreateCreature,DYNAHE7,cre,1
BD0101.BCS,247,CreateCreature,MINSC7_,cre,1
BD0101.BCS,294,CreateCreature,VICONI7,cre,1
BD0102.BCS,17,CreateCreature,BDLIIA,cre,1
BD0102.BCS,18,CreateCreature,BDBELT,cre,1
BD0102.BCS,20,CreateCreature,CSRNOBM,cre,1
BD0102.BCS,21,CreateCreature,CSRNOBF,cre,1
BD0102.BCS,22,CreateCreature,CSRNOBM,cre,1
BD0102.BCS,23,CreateCreature,CSRNOBF,cre,1
BD0102.BCS,24,CreateCreature,CSRNOBM,cre,1
BD0102.BCS,25,CreateCreature,CSRNOBF,cre,1
BD0102.BCS,26,CreateCreature,CSRNOBM,cre,1
BD0102.BCS,27,CreateCreature,CSRNOBF,cre,1
BD0102.BCS,28,CreateCreature,CSRFFGD,cre,1
BD0102.BCS,29,CreateCreature,CSRFFGD,cre,1
BD0102.BCS,75,CreateCreature,BDLIIA,cre,1
BD0102.BCS,78,CreateCreature,CSRFFGX,cre,1
BD0102.BCS,79,CreateCreature,CSRFFGX,cre,1
BD0102.BCS,94,CreateCreature,CSRFISTD,cre,1
BD0102.BCS,156,CreateCreature,BDELTAN,cre,1
BD0102.BCS,157,CreateCreature,BDBELT,cre,1
BD0102.BCS,158,CreateCreature,BDSKIE,cre,1
BD0102.BCS,159,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,161,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,163,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,165,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,167,CreateCreature,BDJOSPIL,cre,1
BD0102.BCS,180,CreateCreature,BDSCHAEL,cre,1
BD0102.BCS,181,CreateCreature,BDLIIA,cre,1
BD0102.BCS,201,CreateCreature,BDELTAN,cre,1
BD0102.BCS,202,CreateCreature,BDBELT,cre,1
BD0102.BCS,203,CreateCreature,BDSKIE,cre,1
BD0102.BCS,204,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,206,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,208,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,210,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,212,CreateCreature,BDJOSPIL,cre,1
BD0102.BCS,225,CreateCreature,BDSCHAEL,cre,1
BD0102.BCS,226,CreateCreature,BDLIIA,cre,1
BD0102.BCS,247,CreateCreature,BDELTAN,cre,1
BD0102.BCS,248,CreateCreature,BDBELT,cre,1
BD0102.BCS,249,CreateCreature,BDSKIE,cre,1
BD0102.BCS,250,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,252,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,254,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,256,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,258,CreateCreature,BDJOSPIL,cre,1
BD0102.BCS,260,CreateCreature,BDSCHAEL,cre,1
BD0102.BCS,272,CreateCreature,BDLIIA,cre,1
BD0102.BCS,293,CreateCreature,BDELTAN,cre,1
BD0102.BCS,294,CreateCreature,BDBELT,cre,1
BD0102.BCS,295,CreateCreature,BDSKIE,cre,1
BD0102.BCS,296,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,298,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,300,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,302,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,304,CreateCreature,BDJOSPIL,cre,1
BD0102.BCS,306,CreateCreature,BDSCHAEL,cre,1
BD0102.BCS,322,CreateCreature,BDLIIA,cre,1
BD0102.BCS,339,CreateCreature,BDSCHAEL,cre,1
BD0102.BCS,340,CreateCreature,BDELTAN,cre,1
BD0102.BCS,341,CreateCreature,BDBELT,cre,1
BD0102.BCS,342,CreateCreature,BDSKIE,cre,1
BD0102.BCS,343,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,345,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,347,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,349,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,351,CreateCreature,BDJOSPIL,cre,1
BD0102.BCS,365,CreateCreature,BDLIIA,cre,1
BD0102.BCS,383,CreateCreature,BDSERV1,cre,1
BD0102.BCS,386,CreateCreature,BDSERV1,cre,1
BD0102.BCS,388,CreateCreature,BDSERV1,cre,1
BD0102.BCS,415,CreateCreature,BDNOBM2,cre,1
BD0102.BCS,421,CreateCreature,BDNOBF1,cre,1
BD0102.BCS,427,CreateCreature,BDNOBF2,cre,1
BD0102.BCS,433,CreateCreature,BDNOBM1,cre,1
BD0102.BCS,439,CreateCreature,BDNOBM3,cre,1
BD0102.BCS,445,CreateCreature,BDNOBF4,cre,1
BD0102.BCS,451,CreateCreature,BDNOBM4,cre,1
BD0102.BCS,457,CreateCreature,BDNOBF5,cre,1
BD0102.BCS,463,CreateCreature,BDNOBF3,cre,1
BD0102.BCS,469,CreateCreature,BDNOBM5,cre,1
BD0102.BCS,482,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,488,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,494,CreateCreature,BDFISTCC,cre,1
BD0102.BCS,500,CreateCreature,BDFISTCC,cre,1
BD0103.BCS,89,CreateCreature,CSRIMO,cre,1
BD0103.BCS,119,CreateCreature,CSRSERV,cre,1
BD0103.BCS,134,CreateCreature,CSRSERV,cre,1
BD0103.BCS,779,CreateCreature,BDFENSTE,cre,1
BD0103.BCS,780,CreateCreature,BDIMDEAD,cre,1
BD0103.BCS,800,CreateCreature,BDIMOEN,cre,1
BD0103.BCS,852,CreateCreature,CSRSERV,cre,1
BD0103.BCS,881,CreateCreature,BDIMOEN,cre,1
BD0103.BCS,895,CreateCreature,BDGASS1,cre,1
BD0103.BCS,919,CreateCreature,BDSCHAEL,cre,1
BD0103.BCS,1000,CreateCreature,BDSKIE,cre,1
BD0103.BCS,1064,CreateCreature,BDSKIE,cre,1
BD0104.BCS,54,CreateCreatureImpassable,BDDAUSTO,cre,1
BD0104.BCS,88,CreateCreature,BDAILEEN,cre,1
BD0104.BCS,98,CreateCreature,BDGARACH,cre,1
BD0104.BCS,165,CreateCreature,BDSCHAE2,cre,1
BD0104.BCS,279,CreateCreature,BDIRENI,cre,1
BD0106.BCS,27,CreateCreature,BDCOMM1,cre,1
BD0106.BCS,33,CreateCreature,BDCOMM2,cre,1
BD0106.BCS,39,CreateCreature,BDCOMF1,cre,1
BD0106.BCS,45,CreateCreature,BDCOMM3,cre,1
BD0106.BCS,51,CreateCreature,BDCOMM4,cre,1
BD0106.BCS,57,CreateCreature,BDCOMF2,cre,1
BD0106.BCS,63,CreateCreature,BDCOMM5,cre,1
BD0106.BCS,69,CreateCreature,BDCOMF3,cre,1
BD0107.BCS,120,CreateCreature,BDCOMM1,cre,1
BD0107.BCS,126,CreateCreature,BDCOMM2,cre,1
BD0107.BCS,132,CreateCreature,BDCOMF1,cre,1
BD0107.BCS,138,CreateCreature,BDCOMM3,cre,1
BD0107.BCS,144,CreateCreature,BDCOMM4,cre,1
BD0107.BCS,150,CreateCreature,BDCOMF2,cre,1
BD0107.BCS,156,CreateCreature,BDCOMM5,cre,1
BD0107.BCS,162,CreateCreature,BDCOMF3,cre,1
BD0108.BCS,84,CreateCreature,MINSC7_,cre,1
BD0108.BCS,99,CreateCreature,DYNAHE7,cre,1
BD0108.BCS,146,CreateCreatureObjectOffset,CUTSPY,cre,1
BD0108.BCS,149,CreateCreatureObject,BDITHTYL,cre,1
BD0109.BCS,143,CreateCreature,BDNOBM1,cre,1
BD0109.BCS,180,CreateCreature,BDCOMM6,cre,1
BD0109.BCS,186,CreateCreature,BDCOMM1,cre,1
BD0109.BCS,192,CreateCreature,BDCOMF6,cre,1
BD0109.BCS,198,CreateCreature,BDCOMF2,cre,1
BD0109.BCS,204,CreateCreature,BDCOMM2,cre,1
BD0109.BCS,213,CreateCreature,BDCOMM4,cre,1
BD0109.BCS,219,CreateCreature,BDCOMF3,cre,1
BD0110.BCS,40,CreateCreature,SAFANA7,cre,1
BD0111.BCS,52,CreateCreature,RASAAD7,cre,1
BD0114.BCS,13,CreateCreature,SPIDPHAS,cre,1
BD0114.BCS,14,CreateCreature,SPIDPHAS,cre,1
BD011406.BCS,13,CreateCreature,BDBEETRH,cre,1
BD011406.BCS,14,CreateCreature,BDBEETBR,cre,1
BD011406.BCS,15,CreateCreature,BDBEETBR,cre,1
BD011406.BCS,16,CreateCreature,BDBEETBR,cre,1
BD011406.BCS,17,CreateCreature,BDBEETBR,cre,1
BD011406.BCS,18,CreateCreature,BDBEETBR,cre,1
BD011406.BCS,19,CreateCreature,BDBEETBM,cre,1
BD011406.BCS,20,CreateCreature,BDBEETBM,cre,1
BD011406.BCS,21,CreateCreature,BDBEETBM,cre,1
BD011406.BCS,22,CreateCreature,BDBEETBM,cre,1
BD011406.BCS,23,CreateCreature,BDBEETBM,cre,1
BD011406.BCS,24,CreateCreature,BDBEETBM,cre,1
BD0116.BCS,7,CreateCreature,CSRHASS,cre,1
BD0116.BCS,8,CreateCreature,CSRVHAS,cre,1
BD0116.BCS,9,CreateCreature,CSRPORI,cre,1
BD0116.BCS,20,CreateCreature,CSRSILL,cre,1
BD0116.BCS,21,CreateCreature,CSRGRIT,cre,1
BD0116.BCS,56,CreateCreature,CSRKORL,cre,1
BD0116.BCS,57,CreateCreature,BDFIST1B,cre,1
BD0116.BCS,58,CreateCreature,BDFIST1A,cre,1
BD0116.BCS,59,CreateCreature,BDFIST1C,cre,1
BD0117.BCS,17,CreateCreature,BDFFDOPP,cre,1
BD0120.BCS,3876,CreateCreature,DORN7,cre,1
BD0120.BCS,3877,CreateCreature,BAELOT7,cre,1
BD0120.BCS,3878,CreateCreature,VICONI7,cre,1
BD0120.BCS,3879,CreateCreature,EDWIN7_,cre,1
BD0120.BCS,3880,CreateCreature,SAFANA7,cre,1
BD0120.BCS,3907,CreateCreature,DORN7,cre,1
BD0120.BCS,3908,CreateCreature,BAELOT7,cre,1
BD0120.BCS,3909,CreateCreature,VICONI7,cre,1
BD0120.BCS,3910,CreateCreature,EDWIN7_,cre,1
BD0120.BCS,3936,CreateCreature,DORN7,cre,1
BD0120.BCS,3937,CreateCreature,BAELOT7,cre,1
BD0120.BCS,3938,CreateCreature,VICONI7,cre,1
BD0120.BCS,3939,CreateCreature,SAFANA7,cre,1
BD0120.BCS,3951,CreateCreature,DORN7,cre,1
BD0120.BCS,3952,CreateCreature,VICONI7,cre,1
BD0120.BCS,3953,CreateCreature,EDWIN7_,cre,1
BD0120.BCS,3954,CreateCreature,SAFANA7,cre,1
BD0120.BCS,3979,CreateCreature,DORN7,cre,1
BD0120.BCS,3980,CreateCreature,VICONI7,cre,1
BD0120.BCS,3981,CreateCreature,EDWIN7_,cre,1
BD0120.BCS,3991,CreateCreature,DORN7,cre,1
BD0120.BCS,3992,CreateCreature,VICONI7,cre,1
BD0120.BCS,3993,CreateCreature,BAELOT7,cre,1
BD0120.BCS,4018,CreateCreature,DORN7,cre,1
BD0120.BCS,4019,CreateCreature,VICONI7,cre,1
BD0120.BCS,4020,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4045,CreateCreature,EDWIN7_,cre,1
BD0120.BCS,4046,CreateCreature,DORN7,cre,1
BD0120.BCS,4047,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4057,CreateCreature,BAELOT7,cre,1
BD0120.BCS,4058,CreateCreature,DORN7,cre,1
BD0120.BCS,4059,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4084,CreateCreature,VICONI7,cre,1
BD0120.BCS,4104,CreateCreature,DORN7,cre,1
BD0120.BCS,4125,CreateCreature,EDWIN7_,cre,1
BD0120.BCS,4132,CreateCreature,BAELOT7,cre,1
BD0120.BCS,4154,CreateCreature,VICONI7,cre,1
BD0120.BCS,4176,CreateCreature,DORN7,cre,1
BD0120.BCS,4195,CreateCreature,EDWIN7_,cre,1
BD0120.BCS,4201,CreateCreature,BAELOT7,cre,1
BD0120.BCS,4221,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4222,CreateCreature,VICONI7,cre,1
BD0120.BCS,4244,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4245,CreateCreature,DORN7,cre,1
BD0120.BCS,4267,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4268,CreateCreature,EDWIN7_,cre,1
BD0120.BCS,4275,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4276,CreateCreature,BAELOT7,cre,1
BD0120.BCS,4297,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4298,CreateCreature,VICONI7,cre,1
BD0120.BCS,4319,CreateCreature,VICONI7,cre,1
BD0120.BCS,4339,CreateCreature,DORN7,cre,1
BD0120.BCS,4360,CreateCreature,EDWIN7_,cre,1
BD0120.BCS,4365,CreateCreature,BAELOT7,cre,1
BD0120.BCS,4387,CreateCreature,VICONI7,cre,1
BD0120.BCS,4406,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4423,CreateCreature,NEERA7,cre,1
BD0120.BCS,4424,CreateCreature,KHALID7,cre,1
BD0120.BCS,4425,CreateCreature,JAHEIR7_,cre,1
BD0120.BCS,4426,CreateCreature,DORN7,cre,1
BD0120.BCS,4427,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4454,CreateCreature,NEERA7,cre,1
BD0120.BCS,4455,CreateCreature,KHALID7,cre,1
BD0120.BCS,4456,CreateCreature,JAHEIR7_,cre,1
BD0120.BCS,4457,CreateCreature,DORN7,cre,1
BD0120.BCS,4483,CreateCreature,NEERA7,cre,1
BD0120.BCS,4484,CreateCreature,KHALID7,cre,1
BD0120.BCS,4485,CreateCreature,JAHEIR7_,cre,1
BD0120.BCS,4486,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4511,CreateCreature,NEERA7,cre,1
BD0120.BCS,4512,CreateCreature,KHALID7,cre,1
BD0120.BCS,4513,CreateCreature,JAHEIR7_,cre,1
BD0120.BCS,4538,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4539,CreateCreature,KHALID7,cre,1
BD0120.BCS,4540,CreateCreature,JAHEIR7_,cre,1
BD0120.BCS,4565,CreateCreature,NEERA7,cre,1
BD0120.BCS,4566,CreateCreature,DORN7,cre,1
BD0120.BCS,4567,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4592,CreateCreature,JAHEIR7_,cre,1
BD0120.BCS,4613,CreateCreature,KHALID7,cre,1
BD0120.BCS,4634,CreateCreature,DORN7,cre,1
BD0120.BCS,4655,CreateCreature,NEERA7,cre,1
BD0120.BCS,4677,CreateCreature,JAHEIR7_,cre,1
BD0120.BCS,4700,CreateCreature,KHALID7,cre,1
BD0120.BCS,4723,CreateCreature,DORN7,cre,1
BD0120.BCS,4742,CreateCreature,NEERA7,cre,1
BD0120.BCS,4762,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4763,CreateCreature,JAHEIR7_,cre,1
BD0120.BCS,4785,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4786,CreateCreature,DORN7,cre,1
BD0120.BCS,4793,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4794,CreateCreature,KHALID7,cre,1
BD0120.BCS,4816,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4817,CreateCreature,NEERA7,cre,1
BD0120.BCS,4838,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4839,CreateCreature,JAHEIR7_,cre,1
BD0120.BCS,4860,CreateCreature,JAHEIR7_,cre,1
BD0120.BCS,4880,CreateCreature,DORN7,cre,1
BD0120.BCS,4885,CreateCreature,KHALID7,cre,1
BD0120.BCS,4907,CreateCreature,NEERA7,cre,1
BD0120.BCS,4929,CreateCreature,JAHEIR7_,cre,1
BD0120.BCS,4948,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4965,CreateCreature,MINSC7_,cre,1
BD0120.BCS,4966,CreateCreature,KHALID7,cre,1
BD0120.BCS,4967,CreateCreature,JAHEIR7_,cre,1
BD0120.BCS,4968,CreateCreature,DYNAHE7,cre,1
BD0120.BCS,4969,CreateCreature,SAFANA7,cre,1
BD0120.BCS,4996,CreateCreature,MINSC7_,cre,1
BD0120.BCS,4997,CreateCreature,KHALID7,cre,1
BD0120.BCS,4998,CreateCreature,JAHEIR7_,cre,1
BD0120.BCS,4999,CreateCreature,DYNAHE7,cre,1
BD0120.BCS,5025,CreateCreature,KHALID7,cre,1
BD0120.BCS,5026,CreateCreature,JAHEIR7_,cre,1
BD0120.BCS,5027,CreateCreature,SAFANA7,cre,1
BD0120.BCS,5028,CreateCreature,DYNAHE7,cre,1
BD0120.BCS,5040,CreateCreature,MINSC7_,cre,1
