area,index,region_name,type,x1,y1,x2,y2,destination,entrance,flags_hex,deactivated,trapped,script
BD0040,6,Nexit1,0,1242,81,1339,98,,,0x00000000,0,0,
BD0040,7,InfoBD0106-Side,1,363,534,502,631,,,0x00000000,0,0,
BD0050,0,TranBD0111,2,380,501,532,648,BD0111,Exitbd0050,0x00000E04,0,0,
BD0050,1,InfoBD0111,1,353,733,395,783,,,0x00000000,0,0,
BD0050,2,InfoBD0111,1,608,689,650,739,,,0x00000000,0,0,
BD0050,3,Nexit1,0,1208,3,1317,22,,,0x00000000,0,0,
BD0050,4,Wexit1,0,9,1098,26,1204,,,0x00000000,0,0,
BD0050,5,Eexit1,0,1384,631,1401,733,,,0x00000000,0,0,
BD0050,6,Eexit2,0,1384,826,1401,928,,,0x00000000,0,0,
BD0050,7,Infopoint08,1,880,67,1116,435,,,0x00000000,0,0,
BD0060,0,TransBD0061,2,1475,184,1620,374,BD0061,Exitbd0060,0x00000204,0,0,
BD0060,1,Infopoint02,1,1273,249,1361,300,,,0x00000000,0,0,
BD0061,0,Tranbd0060,2,287,695,479,881,BD0060,Exitbd0061,0x00000604,0,0,
BD0061,1,Tranbd0062,2,279,280,471,427,BD0062,Exitbd0061,0x00000704,1,0,
BD0061,2,Bd_pool,1,276,278,465,430,,,0x00000000,0,0,BDPOOL
BD0062,0,Tranbd0061,2,861,314,1051,520,BD0061,Exitbd0062,0x00000604,0,0,
BD0062,1,Infopoint02,1,323,548,364,574,,,0x00000000,0,0,
BD0064,0,Dragon_escape,0,552,10,563,22,,,0x00000000,0,0,
BD0064,1,Infopoint02,1,1218,249,1232,277,,,0x00000000,0,0,
BD0066,0,TransBD0067,2,482,456,895,693,BD0067,Exitbd0066,0x00000704,1,0,
BD0066,1,Hole,1,482,456,895,693,,,0x00000000,0,0,BDURE3A
BD0066,2,Infopoint03,1,1085,343,1151,368,,,0x00000000,0,0,
BD0067,0,TranBD0066,2,841,635,1092,934,BD0066,Exitbd0067,0x00000604,0,0,
BD0067,1,Crystal_info_1,1,495,490,550,555,,,0x00000000,0,0,
BD0067,2,Cyrstal_info_2,1,1356,523,1422,578,,,0x00000000,0,0,
BD0067,3,Fungus_info_1,1,543,578,868,777,,,0x00000000,0,0,
BD0067,4,Fungus_info_2,1,705,87,1229,260,,,0x00000000,0,0,
BD0067,5,Fungus_info_3,1,117,421,185,735,,,0x00000000,0,0,
BD0100,0,TranBD0102a,2,1177,590,1283,672,BD0102,Exitbd0100a,0x00000204,0,0,
BD0100,1,TranBD0102b,2,549,78,647,179,BD0102,Exitbd0100b,0x00000204,0,0,
BD0100,2,InfoBDImoenB,1,489,489,578,572,,,0x00000100,1,0,
BD0100,3,InfoBDImoenA,1,499,578,578,635,,,0x00000100,1,0,
BD0100,4,TranBD0103b,2,317,72,541,254,BD0103,Exitbd0100b,0x00000604,0,0,
BD0100,5,TranBD0103a,2,1092,614,1305,812,BD0103,Exitbd0100a,0x00000604,0,0,
BD0100,6,Infopoint07,1,770,165,800,237,,,0x00000000,0,0,
BD0101,0,TranBD0102,2,776,135,938,342,BD0102,Exitbd0101,0x00000604,0,0,
BD0101,1,InfoBD0102a,1,605,237,640,288,,,0x00000000,0,0,
BD0101,2,InfoBD0102b,1,1047,346,1083,397,,,0x00000000,0,0,BDINFO01
BD0102,0,TranBD0101,2,320,675,450,830,BD0101,Exitbd0102,0x00000304,1,0,
BD0102,1,TranBD0100b,2,314,94,534,284,BD0100,Exitbd0102b,0x00000204,0,0,
BD0102,2,TranBD0100a,2,1065,663,1314,853,BD0100,Exitbd0102a,0x00000204,0,0,
BD0102,3,TranBD0116,2,556,107,614,187,BD0116,Exitbd0102,0x00000200,0,0,
BD0102,4,TranBD0010,2,320,675,450,830,BD0010,EXITBD0102,0x00000204,0,0,BDDOOR10
BD0102,5,Window_info_1,1,767,203,800,272,,,0x00000000,0,0,
BD0102,6,Window_info_2,1,1136,471,1165,538,,,0x00000000,0,0,
BD0102,7,Piano_info,1,835,865,963,970,,,0x00000000,0,0,
BD0102,8,Harp_info,1,746,703,800,770,,,0x00000000,0,0,
BD0103,0,TranBD0100a,2,1115,704,1301,851,BD0100,Exitbd0103a,0x00000704,1,0,
BD0103,1,TranBD0100b,2,365,166,536,295,BD0100,Exitbd0103b,0x00000704,1,0,
BD0103,2,Imoeninfo2,1,170,346,298,433,,,0x00000100,1,0,
BD0103,3,Imoeninfo1,1,737,556,789,636,,,0x00000100,1,0,
BD0103,4,Window_info_1,1,667,135,699,204,,,0x00000000,0,0,
BD0103,5,Window_info_2,1,1229,529,1259,596,,,0x00000000,0,0,
BD0103,6,Bed_info,1,163,296,307,455,,,0x00000000,0,0,
BD0104,0,TranBD0105,2,1131,759,1198,809,BD0105,Exitbd0104,0x00000C00,0,0,
BD0104,1,InfoBDStairs,1,885,477,988,584,,,0x00000000,0,0,
BD0104,2,TranBD0030,2,1668,1056,1830,1188,BD0030,ExitBD0104,0x00000204,0,0,
BD0104,3,Infobdstairs_epilogue,1,885,477,988,584,,,0x00000100,1,0,
BD0104,4,Infopoint05,1,1459,892,1498,956,,,0x00000000,0,0,
BD0104,5,Infopoint06,1,475,406,513,471,,,0x00000000,0,0,
BD0104,6,Infopoint07,1,584,1003,613,1075,,,0x00000000,0,0,
BD0104,7,Infopoint08,1,1181,392,1211,468,,,0x00000000,0,0,
BD0105,0,TranBD0104,2,542,356,692,559,BD0104,Exitbd0105,0x00000400,0,0,
BD0105,1,TranBD6000,2,728,155,796,201,BD6000,Exitbd0105,0x00000A04,0,0,
BD0105,2,Infopoint03,1,319,96,460,173,,,0x00000000,0,0,
BD0105,3,Infopoint04,1,540,184,592,224,,,0x00000000,0,0,
BD0105,4,Infopoint05,1,471,234,520,298,,,0x00000000,0,0,
BD0106,0,TranBD0040,2,333,617,500,755,BD0040,Exitbd0106,0x00000204,0,0,BDDOOR
BD0106,1,TranBD0107,2,627,294,722,429,BD0107,ExitBD0106,0x00000000,0,0,
BD0106,2,Pooltable_info,1,699,677,837,767,,,0x00000000,0,0,
BD0107,0,TranBD0108,2,578,236,718,443,BD0108,Exitbd0107,0x00000000,0,0,
BD0107,1,TranBD0106,2,715,277,806,361,BD0106,Exitbd0107,0x00000000,0,0,
BD0107,2,Infopoint03,1,1028,365,1172,468,,,0x00000000,0,0,
BD0107,3,Infopoint04,1,418,408,474,444,,,0x00000000,0,0,
BD0108,0,TranBD0107,2,638,368,733,437,BD0107,Exitbd0108,0x00000000,0,0,
BD0108,1,Infopoint02,1,295,119,398,199,,,0x00000000,0,0,
BD0108,2,Infopoint03,1,714,199,750,248,,,0x00000000,0,0,
BD0109,0,TranBD0110,2,960,310,1107,442,BD0110,Exitbd0109,0x00000200,0,0,
BD0109,1,TranBD0020,2,993,684,1124,808,BD0020,Exitbd0109,0x00000204,0,0,
BD0109,2,Infopoint03,1,337,475,456,612,,,0x00000000,0,0,
BD0109,3,Infopoint04,1,529,264,649,347,,,0x00000000,0,0,
BD0110,0,TranBD0109,2,776,266,953,401,BD0109,Exitbd0110,0x00000200,0,0,
BD0110,1,Infopoint02,1,506,122,587,230,,,0x00000000,0,0,
BD0110,2,Infopoint03,1,115,348,135,386,,,0x00000000,0,0,
BD0110,3,Infopoint04,1,1021,184,1105,268,,,0x00000000,0,0,BDINFO01
BD0110,4,Infopoint05,1,527,432,705,563,,,0x00000000,0,0,
BD0110,5,Infopoint06,1,409,502,588,635,,,0x00000000,0,0,
BD0111,0,TranBD0117,2,1235,693,1318,758,BD0117,Exitbd0111,0x00000000,0,0,
BD0111,1,TranBD0050,2,928,895,1091,1032,BD0050,Exitbd0111,0x00000204,0,0,BDDOOR
BD0111,2,InfoBDStairs1,1,138,323,290,551,,,0x00000000,0,0,
BD0111,3,InfoBDStairs2,1,723,85,897,318,,,0x00000000,0,0,
BD0111,4,Infopoint05,1,682,624,712,659,,,0x00000000,0,0,
BD0111,5,Infopoint06,1,372,269,408,330,,,0x00000000,0,0,
BD0111,6,Infopoint07,1,514,211,550,269,,,0x00000000,0,0,
BD0111,7,Infopoint08,1,1090,429,1121,493,,,0x00000000,0,0,
BD0111,8,Infopoint09,1,398,552,437,581,,,0x00000000,0,0,
BD0111,9,Infopoint10,1,588,465,639,498,,,0x00000000,0,0,
BD0111,10,Infopoint11,1,790,382,830,415,,,0x00000000,0,0,
BD0113,0,TranBD5100,2,163,463,299,571,BD5100,Exitbd0113,0x00000204,0,0,
BD0113,1,Infopoint02,1,800,389,1185,555,,,0x00000000,0,0,
BD0114,0,TranBD7200,2,651,1241,792,1334,BD7200,Exitbd0114,0x00000604,0,0,
BD0114,1,Bdpoint1,0,428,1074,829,1143,,,0x00000002,0,0,BD011401
BD0114,2,Bdpoint2,0,717,716,988,1009,,,0x00000002,0,0,BD011402
BD0114,3,Bdpoint3,0,1386,745,1458,982,,,0x00000002,0,0,BD011403
BD0114,4,Bdpoint4,0,1141,460,1218,512,,,0x00000002,0,0,BD011404
BD0114,5,Bdpoint5,0,688,435,763,465,,,0x00000002,0,0,BD011405
BD0114,6,Bdpoint6,0,127,687,327,740,,,0x00000002,0,0,BD011406
BD0114,7,Bdpoint7,0,538,565,581,637,,,0x00000002,0,0,BD011407
BD0114,8,Bdpoint8,0,1004,576,1038,634,,,0x00000002,0,0,BD011408
BD0114,9,Spidersilk1,1,616,765,701,852,,,0x00000400,0,0,BDSPSILK
BD0114,10,Spidersilk2,1,639,405,713,507,,,0x00000400,0,0,BDSPSILK
BD0114,11,Spidersilk3,1,947,161,1033,260,,,0x00000400,0,0,BDSPSILK
BD0114,12,Spidersilk4,1,1280,270,1368,354,,,0x00000400,0,0,BDSPSILK
BD0114,13,Ff_camp,0,3,4,20,34,,,0x00000000,0,0,
BD0114,14,Trap_web1,0,136,582,264,643,,,0x00000008,0,1,GTWEB
BD0114,15,Trap_web2,0,1203,829,1278,935,,,0x00000008,0,1,GTWEB
BD0114,16,Trap_web3,0,1121,468,1206,536,,,0x00000008,0,1,GTWEB
BD0114,17,Infopoint18,1,595,840,660,890,,,0x00000000,0,0,
BD0114,18,Infopoint19,1,1251,735,1334,825,,,0x00000000,0,0,
BD0114,19,Infopoint20,1,837,502,919,560,,,0x00000000,0,0,
BD0115,0,TranBD7000,2,173,407,378,508,BD7000,Exitbd0115,0x00000604,0,0,
BD0115,1,Info_SDD123,1,310,127,390,177,,,0x00000000,0,0,BDCOF01
BD0116,0,TranBD0102,2,953,876,1057,1006,BD0102,Exitbd0116,0x00000200,0,0,
BD0116,1,TrapBDKorlasz,0,378,371,1147,907,,,0x00000000,0,0,
BD0116,2,Infopoint03,1,292,753,464,877,,,0x00000000,0,0,
BD0116,3,Infopoint04,1,375,922,409,962,,,0x00000000,0,0,
BD0116,4,Infopoint05,1,1001,145,1129,283,,,0x00000000,0,0,
BD0117,0,TranBD0111,2,156,368,270,496,BD0111,Exitbd0117,0x00000000,0,0,
BD0117,1,Infopoint02,1,373,304,606,564,,,0x00000000,0,0,
BD0117,2,Infopoint03,1,530,155,831,492,,,0x00000000,0,0,
BD0120,0,TranBD0130,2,2287,271,2529,554,BD0130,Exitbd0120,0x00000604,0,0,
BD0120,1,Porios_escape,0,1795,835,1835,864,,,0x00000000,0,0,
BD0120,2,Rope,1,758,1384,810,1679,,,0x00000000,0,0,BDROPE
BD0120,3,Tranbd0130rope,2,781,964,867,1032,BD0130,Exitbd0120rope,0x00000704,1,0,
BD0120,4,Card_Table,1,1612,1379,1779,1487,,,0x00000000,0,0,
BD0120,5,Breach,1,1944,261,2087,405,,,0x00000000,0,0,
BD0120,6,Chasm1,1,1055,1143,1260,1281,,,0x00000000,0,0,
BD0120,7,Chasm2,1,1282,1016,1549,1245,,,0x00000000,0,0,
BD0120,8,Chasm3,1,1658,914,1789,979,,,0x00000000,0,0,
BD0120,9,Chasm4,1,1891,769,2120,904,,,0x00000000,0,0,
BD0120,10,Imoen_room2,0,1294,692,1306,704,,,0x00000000,0,0,
BD0120,11,Imoen_room1a,0,1994,986,2004,992,,,0x00000000,0,0,
BD0120,12,Imoen_room1b,0,1761,770,1773,784,,,0x00000000,0,0,
BD0120,13,Imoen_room2a,0,1744,421,1753,429,,,0x00000000,0,0,
BD0120,14,Imoen_room2b,0,1619,637,1631,647,,,0x00000000,0,0,
BD0120,15,Infopoint16,1,896,335,972,389,,,0x00000000,0,0,
BD0120,16,Ff_camp,0,443,1199,1542,1915,,,0x00000002,0,0,
BD0120,17,Porios_spawn,0,1285,1305,1291,1315,,,0x00000000,0,0,
BD0120,18,Autosave_trigger,0,1004,1512,1136,1576,,,0x00000000,0,1,BDASAV01
BD0121,0,TranBD0112,2,717,762,810,830,BD0112,Exitbd0121,0x00000100,1,0,
BD0121,1,TranBD0020,2,717,762,810,830,BD0020,Exitbd0121,0x00000204,0,0,
BD0121,2,TranBD0122,2,142,145,333,393,BD0122,ExitBD0121,0x00000000,0,0,
BD0122,0,TranBD0121,2,204,150,493,307,BD0121,Exitbd0122,0x00000200,0,0,
BD0122,1,Infopoint02,1,599,572,695,615,,,0x00000000,0,0,
BD0130,0,TranBD0120,2,2499,60,2767,304,BD0120,Exitbd0130,0x00000604,0,0,
BD0130,1,Bhaal_mural,1,1968,1092,2019,1139,,,0x00000000,0,0,
BD0130,2,Bane_mural,1,1865,2401,1929,2448,,,0x00000000,0,0,
BD0130,3,Myrkul_mural,1,936,1600,999,1649,,,0x00000000,0,0,
BD0130,4,Chasm01,1,2027,1520,2491,1831,,,0x00000000,0,0,
BD0130,5,Chasm02,1,1580,1747,2041,2061,,,0x00000000,0,0,
BD0130,6,Lava01,1,1137,2070,1455,2184,,,0x00000000,0,0,
BD0130,7,Lava02,1,2541,1291,2803,1554,,,0x00000000,0,0,
BD0130,8,Tranbd0120rope,2,691,1440,746,1551,BD0120,Exitbd0130rope,0x00000704,1,0,
BD0130,9,Red_brazier,1,2493,1911,2551,1957,,,0x00000000,0,0,BDSHBRZ
BD0130,10,Yellow_brazier,1,2868,1610,2918,1654,,,0x00000000,0,0,BDSHBRZ
BD0130,11,Purple_brazier,1,3142,2168,3197,2227,,,0x00000000,0,0,BDSHBRZ
BD0130,12,Jelly_globe01,1,2266,2045,2328,2195,,,0x00000000,0,0,BDSHSLIM
BD0130,13,Jelly_globe02,1,2480,2207,2547,2329,,,0x00000000,0,0,BDSHSLIM
BD0130,14,Dead_three_center,0,2903,1927,2915,1941,,,0x00000000,0,0,
BD0130,15,Corridor_alcoves,0,2448,2094,2475,2110,,,0x00000000,0,0,
BD0130,16,Bhaal_corner,0,2278,1107,2293,1118,,,0x00000000,0,0,
BD0130,17,Trap_magic_missile,0,2383,1092,2407,1163,,,0x00000008,0,1,GTMM
BD0130,18,Trap_arrow_fire,0,2578,1828,2699,1924,,,0x00000008,0,1,GTAR8
BD0130,19,Trap_arrow_fire,0,2833,1923,3192,2173,,,0x00000008,0,1,GTAR8
BD0130,20,Trap_miscast_magic,0,2143,2243,2349,2411,,,0x00000008,0,1,GTMIS
BD0130,21,Trap_enfeeblement,0,1174,1460,1274,1546,,,0x00000008,0,1,GT004
BD0130,22,Trap_dispel_arrow,0,910,1189,1057,1208,,,0x00000008,0,1,GTAR7
BD0130,23,Wyrm_skeleton,1,3303,1078,3442,1249,,,0x00000000,0,0,
BD0130,24,Entrance_corner,0,2764,606,2777,620,,,0x00000000,0,0,
BD0130,25,Magma_mephit_spawn,1,3223,1032,3285,1126,,,0x00000000,0,0,BDSHMMSP
BD0130,26,Trap_spook,0,1678,2220,1800,2297,,,0x00000008,0,1,BDGT014
BD0130,27,Trap_blindness,0,1688,1533,1824,1619,,,0x00000008,0,1,BDGT013
BD0130,28,Trap_arrow_piercing,0,2248,679,2364,747,,,0x00000008,0,1,GTAR10
BD0130,29,Lever_machine_stuck,1,594,1152,662,1204,,,0x00000100,1,0,
BD0130,30,Lever_bedroom_stuck,1,1563,866,1610,925,,,0x00000000,0,0,
BD0130,31,Bhaal_corner2,0,2171,796,2182,806,,,0x00000000,0,0,
BD0130,32,Infopoint34,1,1611,483,1865,589,,,0x00000000,0,0,
BD0130,33,Info_purple_crystal,1,723,184,765,233,,,0x00000000,0,0,
BD0130,34,Info_machine01,1,635,1057,797,1201,,,0x00000000,0,0,
BD0130,35,Info_machine02,1,1442,856,1571,968,,,0x00000000,0,0,
BD0130,36,Imoen_final_talk,0,843,792,1114,936,,,0x00000002,0,1,BDSHIMFT
BD1000,0,Bd_barricade,0,3558,1127,3595,1155,,,0x00000000,0,0,
BD1000,1,Bd_bridge,0,3919,597,4501,1031,,,0x00000000,0,0,BDTRADEB
BD1000,2,Tradeway_exit,0,5085,15,5096,25,,,0x00000000,0,0,
BD1000,3,Menhir1,1,1689,635,1796,861,,,0x00000500,1,0,BDMENHI1
BD1000,4,Menhir2,1,963,454,1070,680,,,0x00000500,1,0,BDMENHI2
BD1000,5,Menhir3,1,494,1863,601,2085,,,0x00000500,1,0,BDMENHI3
BD1000,6,Menhir4,1,1476,3171,1583,3393,,,0x00000500,1,0,BDMENHI4
BD1000,7,Menhir5,1,4861,2841,4968,3063,,,0x00000500,1,0,BDMENHI5
BD1000,8,Tranbd1100,2,4894,2029,5041,2185,BD1100,Exitbd1000,0x00000604,0,0,
BD1000,9,Menhir6,1,4204,1822,4311,2044,,,0x00000500,1,0,BDMENHI6
BD1000,10,Dead Goblins,0,1016,1687,1156,1835,,,0x00000400,0,0,BDDGOB
BD1000,11,Bddgob1,0,1131,1817,1140,1827,,,0x00000000,0,0,
BD1000,12,Bddgob2,0,1087,1830,1097,1840,,,0x00000000,0,0,
BD1000,13,Bddgob3,0,1114,1776,1124,1790,,,0x00000000,0,0,
BD1000,14,Bddgob4,0,1048,1779,1056,1791,,,0x00000000,0,0,
BD1000,15,Trap_sdd221_1,0,2997,659,3017,674,,,0x00000008,0,1,BDGTSNAR
BD1000,16,Trap_sdd221_2,0,3037,678,3073,702,,,0x00000008,0,1,BDGTSNAR
BD1000,17,Trap_sdd221_3,0,2883,700,2911,715,,,0x00000008,0,1,BDGTSNAR
BD1000,18,Trap_sdd221_4,0,2748,484,2776,499,,,0x00000008,0,1,BDGTSNAR
BD1000,19,Trap_sdd221_5,0,2643,412,2671,427,,,0x00000008,0,1,BDGTSNAR
BD1000,20,Ff_camp,0,0,2839,1252,3839,,,0x00000002,0,1,BDFFCAMP
BD1000,21,Banter_trigger1,0,778,2850,1970,3835,,,0x00000002,0,1,BDTALK01
BD1000,22,Banter_trigger2,0,2247,1422,3136,2098,,,0x00000002,0,1,BDTALK02
BD1000,23,Corwin Romance 1,0,901,2660,2251,3835,,,0x00000002,0,1,BDROM01
BD1000,24,Rasaad And Safana Romance 1,0,2501,1394,3390,2070,,,0x00000000,0,1,BDROM02
BD1000,25,Trap_web01,0,4443,3228,4916,3427,,,0x00000008,0,1,GTWEB
BD1000,26,Trap_web02,0,347,1437,765,1563,,,0x00000008,0,0,GTWEB
BD1000,27,Dog Cage,1,1693,392,1774,427,,,0x00000100,1,0,BDBDOGCA
BD1000,28,Infopoint30,1,2374,2256,2907,2647,,,0x00000000,0,0,
BD1000,29,Infopoint31,1,1900,427,2096,611,,,0x00000000,0,0,
BD1000,30,Info_bridge,1,4234,510,4644,847,,,0x00000100,1,0,
BD1000,31,Infopoint33,1,3929,1068,3958,1177,,,0x00000000,0,0,
BD1000,32,Infopoint34,1,3545,772,3582,855,,,0x00000000,0,0,
BD1010,0,TranBD7300,2,13,760,287,1012,BD7300,Exitbd1010,0x00000604,0,0,
BD1010,1,Trap_web,0,407,397,547,573,,,0x00000008,0,1,GTWEB
BD1100,0,Tranbd1000,2,0,1000,358,1342,BD1000,Exitbd1100,0x00000604,0,0,
BD1100,1,TranBD1200,2,3567,1486,3809,1820,BD1200,Exitbd1100,0x00000604,0,0,
BD1100,2,Trap_glyph_of_warding,0,1734,2466,1815,2602,,,0x00000408,0,1,GTGW
BD1100,3,Trap_hold_person,0,2577,2357,2618,2473,,,0x00000408,0,1,GTHP
BD1100,4,Trap_skull_trap,0,2768,1043,2856,1155,,,0x00000408,0,1,GTST
BD1100,5,Info_Banner_01,1,1371,516,1434,617,,,0x00000000,0,0,
BD1100,6,Info_Banner_02,1,1484,512,1548,635,,,0x00000000,0,0,
BD1100,7,Info_Banner_03,1,1610,523,1673,631,,,0x00000000,0,0,
BD1100,8,Infopoint_Collapse,1,2318,712,2741,965,,,0x00000000,0,0,
BD1100,9,Info_Food_Stores,1,2138,707,2264,783,,,0x00000000,0,0,
BD1100,10,Info_Ore_Carts,1,999,2075,1140,2252,,,0x00000000,0,0,
BD1200,0,TranBD1100,2,74,1753,401,1994,BD1100,Exitbd1200,0x00000604,0,0,
BD1200,1,Bdpill01,1,2888,739,2928,926,,,0x00000000,0,0,BDPILL02
BD1200,2,Bdpill02,1,3115,722,3155,909,,,0x00000000,0,0,BDPILL04
BD1200,3,Bdpill03,1,3302,802,3342,989,,,0x00000000,0,0,BDPILL01
BD1200,4,Bdpill04,1,3385,939,3425,1126,,,0x00000000,0,0,BDPILL03
BD1200,5,Coldheart_spawn,0,4183,1311,4354,1380,,,0x00000002,0,1,BDCHSPWN
BD1200,6,Lichtran,0,3601,1944,3834,2246,,,0x00000000,0,1,BDLICHT
BD1200,7,Scryingpool,1,1260,2021,1384,2105,,,0x00000040,0,0,BDODSCRY
BD1200,8,Portaltoanotherplace,1,473,2510,543,2553,,,0x00000000,0,0,BDPORTAL
BD1200,9,Phylactery1,1,4124,1061,4155,1104,,,0x00000000,0,0,BDPHY01
BD1200,10,Phylactery2,1,4227,1034,4261,1079,,,0x00000000,0,0,BDPHY02
BD1200,11,Phylactery3,1,4352,1045,4379,1090,,,0x00000000,0,0,BDPHY03
BD1200,12,Phylactery4,1,4435,1094,4462,1135,,,0x00000000,0,0,BDPHY04
BD1200,13,Phylactery5,1,4066,1122,4092,1162,,,0x00000000,0,0,BDPHY05
BD1200,14,Phylactery6,1,4479,1163,4500,1203,,,0x00000000,0,0,BDPHY06
BD1200,15,Seatofshadowking,1,1281,755,1328,844,,,0x00000400,0,0,BDSEAT
BD1200,16,Alchemyset,1,2084,870,2343,1076,,,0x00000000,0,0,
BD1200,17,Alchemyset2,1,2224,554,2331,707,,,0x00000000,0,0,
BD1200,18,Crimsonpool,1,3258,1810,3503,1991,,,0x00000000,0,0,
BD1200,19,Crimsonpool,1,3508,1641,3840,1886,,,0x00000000,0,0,
BD1200,20,Pedestal,1,3943,2315,4147,2455,,,0x00000000,0,0,
BD1200,21,Statue,1,4236,2060,4346,2214,,,0x00000000,0,0,
BD1200,22,Trap_fireball,0,1406,2719,1501,2791,,,0x00000008,0,1,GTFB
BD1200,23,Trap_confusion,0,1908,1953,2064,2042,,,0x00000008,0,1,GTCON
BD1200,24,Trap_charm,0,2162,825,2297,898,,,0x00000008,0,1,GTDC
BD1200,25,Trap_miscast_magic,0,3478,1772,3543,1814,,,0x00000008,0,1,GTMIS
BD1200,26,BlueMist_01,1,957,695,1385,1104,,,0x00000000,0,0,
BD1200,27,BlueMist_02,1,1223,677,1672,961,,,0x00000000,0,0,
BD1200,28,Strange_Tanks_01,1,1207,1281,1565,1560,,,0x00000000,0,0,
BD1200,29,Strange_Tanks_02,1,1774,883,2073,1080,,,0x00000000,0,0,
BD1200,30,Strange_Tanks_03,1,1433,1174,1699,1388,,,0x00000000,0,0,
BD1200,31,Collapsed_Entrance,1,2615,2523,3092,2822,,,0x00000000,0,0,
BD1200,32,Entrance_Debris,1,748,1778,927,1930,,,0x00000000,0,0,
BD1200,33,Sarcophagus_03,1,2948,1963,3079,2052,,,0x00000000,0,0,
BD1200,34,Trap_cloudkill,0,1727,1790,1884,1878,,,0x00000008,0,1,GTCK
BD1200,35,Forcewall,1,56,1702,336,2001,,,0x00000100,1,0,
BD2000,0,Boareskyr_bridge,0,529,1240,1107,1693,,,0x00000000,0,1,BDBOARB
BD2000,1,No_rest_area,0,1328,1794,3350,3597,,,0x00000002,0,1,BDNORES2
BD2000,2,Crusade_camp_gate_inside,0,3022,3103,3063,3130,,,0x00000000,0,0,
BD2000,3,TranBD2100,2,3165,1261,3292,1370,BD2100,Exitbd2000,0x00000604,0,0,
BD2000,4,Drawbridge_info,1,3075,1526,3221,1735,,,0x00000400,0,0,BDDRAWBR
BD2000,5,Camp_center,0,2386,2630,2403,2645,,,0x00000000,0,0,
BD2000,6,Bridgefort_exit,0,2992,1990,3008,2003,,,0x00000000,0,0,
BD2000,7,Boaresky_blockade,1,1734,2019,2037,2365,,,0x00000100,1,0,
BD2000,8,Barrel_spot,0,1389,1874,1423,1903,,,0x00000000,0,0,BDBOARB2
BD2000,9,Enlightment,0,2590,2415,2610,2436,,,0x00000000,0,0,
BD2000,10,Tranbd2010,2,4699,430,4780,550,BD2010,Exitbd2000,0x00000604,0,0,
BD2000,11,Rope_over_moat,1,3995,1151,4135,1253,,,0x00000000,0,0,
BD2000,12,BD208LN_S,0,3026,1330,3165,1455,,,0x00000102,1,0,BD208LNS
BD2000,13,BD208LN_N,0,2904,835,3544,1233,,,0x00000002,0,0,BD208LNN
