area,kind,source,placed_count,ea,xp_per_creature,item,charges,flags,instance_undroppable
BD5110,creature,BDSHAD04,10,255,420,IMMUNE1,0|0|0,10,True
BD5110,creature,BDSHAD04,10,255,420,RING95,0|0|0,10,True
BD5110,creature,BDSHAD04,10,255,420,SHADOWWP,0|0|0,10,True
BD5110,creature,BDSHADGR,2,255,3000,IMMUNE1,0|0|0,10,True
BD5110,creature,BDSHADGR,2,255,3000,RING95,0|0|0,10,True
BD5110,creature,BDSHADGR,2,255,3000,BDSHADGA,0|0|0,10,True
BD5110,creature,BDSHADGR,2,255,3000,BDSHADGR,0|0|0,10,True
BD5110,creature,BDSOTUK,1,128,4000,BDAX1HGH,1|0|0,11,True
BD5110,creature,BDSOTUK,1,128,4000,BDRINGGH,0|0|0,0,False
BD5110,creature,BDSOTUK,1,128,4000,BDSW1HEL,1|0|0,0,False
BD5110,creature,BDSOTUK,1,128,4000,BDCHANEL,0|0|0,0,False
BD5110,creature,BDUNSLGU,1,255,4000,IMMUNE1,0|0|0,10,True
BD5110,creature,BDUNSLGU,1,255,4000,RING95,0|0|0,10,True
BD5110,creature,BDUNSLGU,1,255,4000,BDUNSLGU,0|0|0,10,True
BD5110,creature,BDWORIS,1,128,4000,BDHELMGH,0|0|0,0,False
BD5110,creature,BDWORIS,1,128,4000,BDCHANGH,0|0|0,0,False
BD5110,creature,BDWORIS,1,128,4000,BDRINGGH,0|0|0,0,False
BD5110,creature,BDWORIS,1,128,4000,BDSW2HGH,1|0|0,11,True
BD5110,creature,BDWRAI02,4,255,2000,IMMUNE1,0|0|0,0,False
BD5110,creature,BDWRAI02,4,255,2000,RING95,0|0|0,10,True
BD5110,creature,BDWRAI02,4,255,2000,MAGE01,0|0|0,10,True
BD5110,creature,BDWRAI02,4,255,2000,WRAITH1,0|0|0,0,False
BD5110,container,Ettin,1,,,BDBONE02,0|0|0,0,False
BD5110,container,GhostFRemains,1,,,BDBONE01,0|0|0,0,False
BD5110,container,GhostFRemains,1,,,MISC58,0|0|0,0,False
BD5110,container,GhostFRemains,1,,,RNDGEM02,0|0|0,0,False
BD5110,container,GhostMRemains,1,,,BDBONE01,0|0|0,0,False
BD5110,container,GhostMRemains,1,,,BOW03,0|0|0,0,False
BD5110,container,SotukRemains,1,,,BDBONE01,0|0|0,0,False
BD5110,container,SotukRemains,1,,,RNDTRI03,0|0|0,0,False
BD5110,container,WorisRemains,1,,,BDBONE01,0|0|0,0,False
BD5110,container,WorisRemains,1,,,HELM12,0|0|0,0,False
BD5110,container,WorisRemains,1,,,PLAT01,0|0|0,0,False
BD5110,container,LitlaRemains,1,,,BDBONE01,0|0|0,0,False
BD5110,container,LitlaRemains,1,,,BDDAGG04,40|0|0,0,False
BD5000,creature,BDARBING,1,128,1400,OGRE1,0|0|0,0,False
BD5000,creature,BDARBING,1,128,1400,RNDTRE08,0|0|0,0,False
BD5000,creature,BDARBING,1,128,1400,BLUN06,0|0|0,0,False
BD5000,creature,BDCHESKI,1,128,1400,OGRE1,0|0|0,0,False
BD5000,creature,BDCHESKI,1,128,1400,RNDTRE08,0|0|0,0,False
BD5000,creature,BDCHESKI,1,128,1400,BLUN06,0|0|0,0,False
BD5000,creature,BDCHORST,1,128,3000,BDENTANG,0|0|0,10,True
BD5000,creature,BDCHORST,1,128,3000,LEAT04,0|0|0,0,False
BD5000,creature,BDCHORST,1,128,3000,MAGE02,0|0|0,0,False
BD5000,creature,BDCHORST,1,128,3000,MAGE05,0|0|0,0,False
BD5000,creature,BDCHORST,1,128,3000,SPER02,0|0|0,0,False
BD5000,creature,BDCHORST,1,128,3000,SLNG01,0|0|0,0,False
BD5000,creature,BDCHORST,1,128,3000,BULL08,40|0|0,0,False
BD5000,creature,BDCHORST,1,128,3000,POTN52,0|0|0,0,False
BD5000,creature,BDCHORST,1,128,3000,BDMISC15,0|0|0,2,False
BD5000,creature,BDCHORST,1,128,3000,DW#HASPT,0|0|0,0,False
BD5000,creature,BDCRSIT1,3,128,650,HELM01,0|0|0,8,True
BD5000,creature,BDCRSIT1,3,128,650,LEAT04,0|0|0,8,True
BD5000,creature,BDCRSIT1,3,128,650,XBOW04,0|0|0,8,True
BD5000,creature,BDCRSIT1,3,128,650,DAGG01,0|0|0,8,True
BD5000,creature,BDCRSIT1,3,128,650,BOLT01,40|0|0,8,True
BD5000,creature,BDCRSIT1,3,128,650,POTN08,1|0|0,8,True
BD5000,creature,BDCRSIT1,3,128,650,UNICAEL,0|0|0,0,False
BD5000,creature,BDCRSIT1,3,128,650,DW#HASPT,0|0|0,0,False
BD5000,creature,BDCRSIT1,3,128,650,DW#RND12,0|0|0,0,False
BD5000,creature,BDCRSIT1,3,128,650,DW#RND26,0|0|0,0,False
BD5000,creature,BDCRUDOG,1,128,15,P1-3,0|0|0,0,False
BD5000,creature,BDCRUS86,1,128,650,HALB01,0|0|0,8,True
BD5000,creature,BDCRUS86,1,128,650,POTN08,1|0|0,8,True
BD5000,creature,BDCRUS93,1,128,420,HELM01,0|0|0,8,True
BD5000,creature,BDCRUS93,1,128,420,LEAT04,0|0|0,8,True
BD5000,creature,BDCRUS93,1,128,420,BOW01,0|0|0,8,True
BD5000,creature,BDCRUS93,1,128,420,SW1H07,0|0|0,8,True
BD5000,creature,BDCRUS93,1,128,420,AROW01,40|0|0,0,False
BD5000,creature,BDCRUS93,1,128,420,UNICAEL,0|0|0,0,False
BD5000,creature,BDCRUS93,1,128,420,POTN08,1|0|0,0,False
BD5000,creature,BDCRUS93,1,128,420,DW#HASPT,0|0|0,0,False
BD5000,creature,BDCRUS93,1,128,420,DW#RND12,0|0|0,0,False
BD5000,creature,BDCRUS93,1,128,420,DW#RND25,0|0|0,0,False
BD5000,creature,BDCRUS94,2,128,420,HELM01,0|0|0,8,True
BD5000,creature,BDCRUS94,2,128,420,CHAN04,0|0|0,8,True
BD5000,creature,BDCRUS94,2,128,420,SW1H04,0|0|0,8,True
BD5000,creature,BDCRUS94,2,128,420,UNICAEL,0|0|0,0,False
BD5000,creature,BDCRUS94,2,128,420,POTN08,1|0|0,0,False
BD5000,creature,BDCRUS94,2,128,420,SHLD03A,0|0|0,8,True
BD5000,creature,BDCRUS94,2,128,420,DW#HASPT,0|0|0,0,False
BD5000,creature,BDCRUS94,2,128,420,DW#RND11,0|0|0,0,False
BD5000,creature,BDCRUS94,2,128,420,DW#RND25,0|0|0,0,False
BD5000,creature,BDCRUS96,1,128,420,LEAT04,0|0|0,8,True
BD5000,creature,BDCRUS96,1,128,420,BOW03,0|0|0,8,True
BD5000,creature,BDCRUS96,1,128,420,SW1H04,0|0|0,8,True
BD5000,creature,BDCRUS96,1,128,420,AROW01,40|0|0,0,False
BD5000,creature,BDCRUS96,1,128,420,UNICAEL,0|0|0,0,False
BD5000,creature,BDCRUS96,1,128,420,POTN08,1|0|0,0,False
BD5000,creature,BDCRUS96,1,128,420,DW#HASPT,0|0|0,0,False
BD5000,creature,BDCRUS96,1,128,420,DW#RND12,0|0|0,0,False
BD5000,creature,BDCRUS96,1,128,420,DW#RND26,0|0|0,0,False
BD5000,creature,BDCRUS97,2,128,420,LEAT04,0|0|0,8,True
BD5000,creature,BDCRUS97,2,128,420,BOW01,0|0|0,8,True
BD5000,creature,BDCRUS97,2,128,420,SW1H07,0|0|0,8,True
BD5000,creature,BDCRUS97,2,128,420,AROW01,40|0|0,0,False
BD5000,creature,BDCRUS97,2,128,420,UNICAEL,0|0|0,0,False
BD5000,creature,BDCRUS97,2,128,420,POTN08,1|0|0,0,False
BD5000,creature,BDCRUS97,2,128,420,DW#HASPT,0|0|0,0,False
BD5000,creature,BDCRUS97,2,128,420,DW#RND11,0|0|0,0,False
BD5000,creature,BDCRUS97,2,128,420,DW#RND26,0|0|0,0,False
BD5000,creature,BDCRUS98,1,128,275,HELM01,0|0|0,8,True
BD5000,creature,BDCRUS98,1,128,275,CHAN01,0|0|0,8,True
BD5000,creature,BDCRUS98,1,128,275,AX1H01,0|999|0,0,False
BD5000,creature,BDCRUS98,1,128,275,AX1H01,0|999|0,8,True
BD5000,creature,BDCRUS98,1,128,275,UNICAEL,0|0|0,0,False
BD5000,creature,BDCRUS98,1,128,275,POTN08,1|0|0,0,False
BD5000,creature,BDCRUS99,1,128,420,BDHELMJ3,0|0|0,8,True
BD5000,creature,BDCRUS99,1,128,420,CHAN04,0|0|0,8,True
BD5000,creature,BDCRUS99,1,128,420,SHLD05A,0|0|0,8,True
BD5000,creature,BDCRUS99,1,128,420,AX1H01,0|999|0,8,True
BD5000,creature,BDCRUS99,1,128,420,UNICAEL,0|0|0,0,False
BD5000,creature,BDCRUS99,1,128,420,POTN08,1|0|0,0,False
BD5000,creature,BDCRUS99,1,128,420,DW#HASPT,0|0|0,0,False
BD5000,creature,BDCRUS99,1,128,420,DW#RND12,0|0|0,0,False
BD5000,creature,BDCRUS99,1,128,420,DW#RND26,0|0|0,0,False
BD5000,creature,BDDEADM,1,128,120,UMBER01,0|0|0,0,False
BD5000,creature,BDDYINGM,1,128,420,BDPLANT,0|0|0,10,True
BD5000,creature,BDDYINGM,1,128,420,IPSION,0|0|0,10,True
BD5000,creature,BDDYINGM,1,128,420,B5-20M1,0|0|0,10,True
BD5000,creature,BDENTRAN,1,128,4000,B6-36M3,0|0|0,10,True
BD5000,creature,BDENTRAN,1,128,4000,BDMISC04,0|0|0,0,False
BD5000,creature,BDENTRAN,1,128,4000,DW#RND05,0|0|0,0,False
BD5000,creature,BDENTRAN,1,128,4000,DW#RND19,0|0|0,0,False
BD5000,creature,BDGUAR50,1,128,975,BDHELM03,0|0|0,0,False
BD5000,creature,BDGUAR50,1,128,975,CHAN01,0|0|0,0,False
BD5000,creature,BDGUAR50,1,128,975,SPER02,0|0|0,0,False
BD5000,creature,BDGUAR50,1,128,975,POTN08,1|0|0,0,False
BD5000,creature,BDGUAR50,1,128,975,DW#HASPT,0|0|0,0,False
BD5000,creature,BDGUAR50,1,128,975,DW#RND12,0|0|0,0,False
BD5000,creature,BDGUAR50,1,128,975,DW#RND26,0|0|0,0,False
BD5000,creature,BDGUAR51,1,128,975,BDHELM03,0|0|0,0,False
BD5000,creature,BDGUAR51,1,128,975,CHAN01,0|0|0,0,False
BD5000,creature,BDGUAR51,1,128,975,SPER02,0|0|0,0,False
BD5000,creature,BDGUAR51,1,128,975,POTN08,1|0|0,0,False
BD5000,creature,BDGUAR51,1,128,975,DW#HASPT,0|0|0,0,False
BD5000,creature,BDGUAR51,1,128,975,DW#RND12,0|0|0,0,False
BD5000,creature,BDGUAR51,1,128,975,DW#RND26,0|0|0,0,False
BD5000,creature,BDGUAR52,1,128,975,BDHELM03,0|0|0,0,False
BD5000,creature,BDGUAR52,1,128,975,CHAN01,0|0|0,0,False
BD5000,creature,BDGUAR52,1,128,975,SPER02,0|0|0,0,False
BD5000,creature,BDGUAR52,1,128,975,POTN08,1|0|0,0,False
BD5000,creature,BDGUAR52,1,128,975,DW#HASPT,0|0|0,0,False
BD5000,creature,BDGUAR52,1,128,975,DW#RND11,0|0|0,0,False
BD5000,creature,BDGUAR52,1,128,975,DW#RND26,0|0|0,0,False
BD5000,creature,BDGUAR53,1,128,650,BDHELM03,0|0|0,0,False
BD5000,creature,BDGUAR53,1,128,650,LEAT01,0|0|0,0,False
BD5000,creature,BDGUAR53,1,128,650,BOW03,0|0|0,0,False
BD5000,creature,BDGUAR53,1,128,650,SW1H07,0|0|0,0,False
BD5000,creature,BDGUAR53,1,128,650,AROW02,40|0|0,0,False
BD5000,creature,BDGUAR53,1,128,650,DW#RND04,0|0|0,0,False
BD5000,creature,BDGUAR53,1,128,650,DW#RND11,0|0|0,0,False
BD5000,creature,BDGUAR53,1,128,650,DW#RND26,0|0|0,0,False
BD5000,creature,BDGUAR54,1,128,650,BDHELM03,0|0|0,0,False
BD5000,creature,BDGUAR54,1,128,650,LEAT01,0|0|0,0,False
BD5000,creature,BDGUAR54,1,128,650,BOW03,0|0|0,0,False
BD5000,creature,BDGUAR54,1,128,650,SW1H07,0|0|0,0,False
BD5000,creature,BDGUAR54,1,128,650,AROW02,40|0|0,0,False
BD5000,creature,BDGUAR54,1,128,650,DW#RND04,0|0|0,0,False
BD5000,creature,BDGUAR54,1,128,650,DW#RND12,0|0|0,0,False
BD5000,creature,BDGUAR54,1,128,650,DW#RND26,0|0|0,0,False
BD5000,creature,BDJAMVEN,1,128,3000,BDENTANG,0|0|0,10,True
BD5000,creature,BDJAMVEN,1,128,3000,LEAT04,0|0|0,0,False
BD5000,creature,BDJAMVEN,1,128,3000,MAGE02,0|0|0,0,False
BD5000,creature,BDJAMVEN,1,128,3000,MAGE05,0|0|0,0,False
BD5000,creature,BDJAMVEN,1,128,3000,BLUN10,0|0|0,0,False
BD5000,creature,BDJAMVEN,1,128,3000,BDMISC14,0|0|0,2,False
BD5000,creature,BDJAMVEN,1,128,3000,POTN52,0|0|0,0,False
BD5000,creature,BDJAMVEN,1,128,3000,DART03,40|0|0,0,False
BD5000,creature,BDJULANN,1,128,4000,BRAC01,0|0|0,0,False
BD5000,creature,BDJULANN,1,128,4000,SLNG02,0|0|0,0,False
BD5000,creature,BDJULANN,1,128,4000,STAF01,0|0|0,0,False
BD5000,creature,BDJULANN,1,128,4000,BULL03,40|0|0,0,False
BD5000,creature,BDJULANN,1,128,4000,POTN52,1|0|0,0,False
BD5000,creature,BDJULANN,1,128,4000,POTN08,1|0|0,0,False
BD5000,creature,BDJULANN,1,128,4000,DW#HASPT,0|0|0,0,False
BD5000,creature,BDJULANN,1,128,4000,DW#RND18,0|0|0,0,False
BD5000,creature,BDMURS,1,128,2000,POTN52,1|0|0,0,False
BD5000,creature,BDMURS,1,128,2000,RNDTRE08,0|0|0,0,False
BD5000,creature,BDMURS,1,128,2000,BLUN15,0|0|0,0,False
BD5000,creature,BDOGREF,3,128,270,OGRE1,0|0|0,0,False
BD5000,creature,BDOGREF,3,128,270,RNDTRE08,0|0|0,0,False
BD5000,creature,BDOGREF,3,128,270,BLUN06,0|0|0,0,False
BD5000,creature,BDOGREM,2,128,650,OGRE1,0|0|0,0,False
BD5000,creature,BDOGREM,2,128,650,RNDTRE08,0|0|0,0,False
BD5000,creature,BDOGREM,2,128,650,BLUN06,0|0|0,0,False
BD5000,creature,BDRIGAH,1,128,2000,HELM15_,0|0|0,8,True
BD5000,creature,BDRIGAH,1,128,2000,PLAT01,0|0|0,0,False
BD5000,creature,BDRIGAH,1,128,2000,BDSW2H01,0|0|0,0,False
BD5000,creature,BDRIGAH,1,128,2000,AX1H04,10|0|0,0,False
BD5000,creature,BDRIGAH,1,128,2000,POTN52,2|0|0,0,False
BD5000,creature,BDRIGAH,1,128,2000,POTN05,1|0|0,0,False
BD5000,creature,BDRIGAH,1,128,2000,POTN14,1|0|0,0,False
BD5000,creature,BDRIGAH,1,128,2000,DW#HASPT,0|0|0,0,False
BD5000,creature,BDRIGAH,1,128,2000,DW#RND14,0|0|0,0,False
BD5000,creature,BDSPIDGA,2,255,3000,ANTIWEB,0|0|0,10,True
BD5000,creature,BDSPIDGA,2,255,3000,BDSPIDGA,0|0|0,10,True
BD5000,creature,BDTARGET,1,128,0,HELM01,0|0|0,8,True
BD5000,creature,BDTARGET,1,128,0,BDNOBOW,0|0|0,8,True
BD5000,creature,BDWYVR01,1,255,1400,RING97,0|0|0,10,True
BD5000,creature,BDWYVR01,1,255,1400,BDWYV01,0|0|0,10,True
BD5000,creature,BDWYVR02,1,255,450,RING97,0|0|0,10,True
BD5000,creature,BDWYVR02,1,255,450,BDWYV02,0|0|0,10,True
BD5000,creature,BDWYVR03,1,255,2000,RING97,0|0|0,10,True
BD5000,creature,BDWYVR03,1,255,2000,BDWYV03,0|0|0,10,True
BD5000,creature,BEARBL,1,128,175,B1-6,0|0|0,0,False
BD5000,creature,BEARBR,1,128,420,B1-8,0|0|0,0,False
BD5000,creature,BEARCA,1,255,650,B1-10,0|0|0,0,False
BD5000,creature,CATLIM01,1,128,270,P1-6,0|0|0,0,False
BD5000,creature,DEAD2,2,128,65,LEAT04,0|0|0,0,False
BD5000,creature,DEAD2,2,128,65,SW1H04,0|0|0,0,False
BD5000,creature,DEAD2,2,128,65,BOW03,0|0|0,0,False
BD5000,creature,DEAD2,2,128,65,AROW01,20|0|0,0,False
BD5000,creature,SKELDED,3,128,0,RNDMAG03,0|0|0,0,False
BD5000,creature,SPIDSW,1,255,2000,SPIDSW1,0|0|0,0,False
BD5000,creature,SPIDSW,1,255,2000,ANTIWEB,0|0|0,0,False
BD5000,creature,SPIDSW,1,255,2000,MAGE06,0|0|0,0,False
BD5000,container,Fallenbranch,1,,,MISC07,14|0|0,0,False
BD5000,container,Crate1,1,,,BLUN04,0|0|0,0,False
BD5000,container,Crate1,1,,,RNDWEP04,0|0|0,0,False
BD5000,container,Rock,1,,,DWRNSCR1,0|0|0,0,False
BD5000,container,Thief Loot,1,,,BDXBOW02,0|0|0,0,False
BD5000,container,Thief Loot,1,,,MISC07,527|0|0,0,False
BD5000,container,Thief Loot,1,,,RNDGEM02,3|0|0,0,False
BD5000,container,Thief Loot,1,,,RNDGEM03,4|0|0,0,False
BD5000,container,Dead_fighter,1,,,POTN52,2|0|0,0,False
BD5000,container,Dead_fighter,1,,,RNDPTN03,0|0|0,0,False
BD5000,container,Dead_fighter,1,,,MISC56_,0|0|0,0,False
BD5000,container,Shield,1,,,SHLD05A,0|0|0,0,False
BD5000,container,Spear,1,,,SPER01,0|0|0,0,False
BD5100,creature,BDANJI,1,128,420,HELM01,0|0|0,8,True
BD5100,creature,BDANJI,1,128,420,CHAN04,0|0|0,8,True
BD5100,creature,BDANJI,1,128,420,XBOW01,0|0|0,8,True
BD5100,creature,BDANJI,1,128,420,DAGG01,0|0|0,8,True
BD5100,creature,BDANJI,1,128,420,BOLT01,40|0|0,0,False
BD5100,creature,BDANJI,1,128,420,UNICAEL,0|0|0,0,False
BD5100,creature,BDANJI,1,128,420,POTN08,1|0|0,0,False
BD5100,creature,BDANJI,1,128,420,DW#HASPT,0|0|0,0,False
BD5100,creature,BDANJI,1,128,420,DW#RND11,0|0|0,0,False
BD5100,creature,BDANJI,1,128,420,DW#RND26,0|0|0,0,False
BD5100,creature,BDANKH01,1,255,1400,ANKHEG1,0|0|0,0,False
BD5100,creature,BDANKH01,1,255,1400,ANKHEG2,0|0|0,0,False
BD5100,creature,BDANKH01,1,255,1400,MISC12,0|0|0,2,False
BD5100,creature,BDANKH01,1,255,1400,RNDTRE08,0|0|0,0,False
BD5100,creature,BDBARDYL,1,128,420,LEAT04,0|0|0,8,True
BD5100,creature,BDBARDYL,1,128,420,SW1H07,0|0|0,8,True
BD5100,creature,BDBARDYL,1,128,420,UNICAEL,0|0|0,0,False
BD5100,creature,BDBARDYL,1,128,420,POTN08,1|0|0,0,False
BD5100,creature,BDBARDYL,1,128,420,POTN10,2|0|0,0,False
BD5100,creature,BDBARDYL,1,128,420,DW#HASPT,0|0|0,0,False
BD5100,creature,BDBARDYL,1,128,420,DW#RND18,0|0|0,0,False
BD5100,creature,BDBELLOW,1,128,0,DART03,10|0|0,10,True
BD5100,creature,BDBELLOW,1,128,0,SW1H04,0|0|0,10,True
